input_kind,page_key,model_a,model_b,model_a_completed_words,model_b_completed_words,model_a_usable_words,model_b_usable_words,model_a_missing_word_rate,model_b_missing_word_rate,expected_words,model_a_text,model_b_text,agreement_score,disagreement_score,flagged_word_regions,human_review,review_reason
raw,test_9_13,surya,tesseract,24,24,14,5,0.4166666666666667,0.7916666666666666,24,బాహు పైనా మూలకేశి దూరం లోనిలు మరాగ్రాత చే లికేధేలు నర్మారం చౌదారు ‍ నర్మా హారియ్ ‌ మనసు రామమంటే చెన్నంపుడారులు మూడోవారం లాో కొత్తదేందుకా,ఇవేంనేవెల చ లకథోలు ట్రీగమ థీటౌంలరీ వనీవీంటోగా,0.176796,0.823204,24,true,agreement_below_threshold;word_regions_flagged
raw,test_9_53,surya,tesseract,24,24,12,13,0.5,0.4583333333333333,24,సిద్ధమత్తూర్పున నేపురూపంలో శ్రీ నవదులు ప్రధాన బాహ్యం సుమ్మెలా హారికేదు మతా హార్సు నెందుకు బొమ్మేలు గాపు గర్వ కొరణు ఎన్నికై సారి,సర్పి స్లోగోత్సటెడౌలీ న్లోనవేదుల ప్రీరనివానం తైన్లియొరు గుడ్డిగా మ్‌ టర కౌబక్జెతుల ఢేన్మాసోంటూ రజొతరాత ౌర్తాం గర్బ్వర్రౌరథం,0.312000,0.688000,24,true,agreement_below_threshold;word_regions_flagged
raw,test_9_65,surya,tesseract,26,26,14,7,0.46153846153846156,0.7307692307692307,26,భౌత్యం తమక్రింది విం టిలా క్షీణ బెంలా కథలు తోష్కరించి మరియు చారిత్రు నీటి బలంకాసు మాసేటివో నందేర విమర్శకత్వం కొనుగోళ్ళు ‌ కొంటుపైన్ కొను,వెం టలోత్తజంతా క్రేగోయినో రీయాతోదరపై లేంసేర ల్‌రల్‌వోల్ట్‌ బల్లులు రౌం టూక్టైర్‌,0.194444,0.805556,26,true,agreement_below_threshold;word_regions_flagged
raw,test_9_91,surya,tesseract,26,26,15,15,0.4230769230769231,0.4230769230769231,26,పాలిత నిర్దేశిస్తున్నాయి ‍ కొంటూ ప్రేమ పాలిత పదివేల వేని మంచి రక ‌ పుట్టి లాగే దేవీ నామమేల దొన్న మాస్టర్‌ మరియాన గుడి మైన ‍ ‍ వచ్చిన్తాను,నిర్చే నుగా ం లొంి టొహ్టేను రేనేటైంలోక లెదోరింలాడం కుక్టిలాన యావింబండి ఎతనాయకుం డెజౌధినమవై ాథీంచగా వైవయైన గురువుగా అనుగునావైన ఘైప్రన్‌ ఊండబట్టటోక వేచ్చ్రోస్తాను,0.255892,0.744108,25,true,agreement_below_threshold;word_regions_flagged
raw,test_9_166,surya,tesseract,25,25,17,6,0.32,0.76,25,‌ మాంట్సం మాధ్యమాలు దండి పోయినాడు విర్ణుడయ్యారో ‌ పరిగోద్రేంచి హైమంపేట దేవ్య గ్రహాలలో చోడు కొ తలపు కొన్ని నీయ నౌస వట్టున సముద్రపు భూమిని ‍ గుర్తు కొన్నారు పచ్చి దీని,మ్యోండ్లాతా టంటోరీతీ వరగోత్తింతే లోటుతో గుర్తుకొస్తారు బా,0.270270,0.729730,24,true,agreement_below_threshold;word_regions_flagged
raw,test_9_249,surya,tesseract,24,24,10,9,0.5833333333333334,0.625,24,‌ మేథాపులందరూ ‌ ‌ ప్రమోగించడం మ నాన్మను విద్యా లింగ ప్రమాన కొలాడు బాళి లింమను గాను,జియోతల్‌ మైథఠొవులంటేరా రతన మోగించడం శ్రేమోనికిలోడు రోలయును డజగయాల్ల చశౌనరి ర,0.379747,0.620253,23,true,agreement_below_threshold;word_regions_flagged
raw,test_9_252,surya,tesseract,25,25,15,8,0.4,0.68,25,పాటలోనే తప్పబయింది వైమానియన్ సమాచారం సమీకృతంగా ముడి సిద్ధాంతం ‍ పారిశ్రామికోటానికి బెన్నెస్కోర్‌లలో ప్రత్యేక శాత కూళాలను కేవలం పంటలను వివరాలు దండ వార్తా,తఘ్తుతుంది ఢితల్త్‌మూణీరులో మాకం తీటలస్మ సమద అనుసరశియం అవీకలళొలు మేయయలను,0.205357,0.794643,25,true,agreement_below_threshold;word_regions_flagged
raw,test_9_393,surya,tesseract,24,24,11,12,0.5416666666666666,0.5,24,విద్యా సౌకర్యాలు ‍ కాళిష్టార్థావు మానవ ‍ సుబ్బరామ వర్మ ‍ ‍ ‌ దమో నందం ఎవరి లోనేనా,ఫ్రేటీలను వీజయరామారొంత్ర అర్హ రాళౌళ్రూరరాయ్ర వలకేరింలదం వరిద్దరిన్‌ లుగ గుబురొయ లిదర్సంగా వంయటలోను ఎణేరి లగాల క,0.177083,0.822917,24,true,agreement_below_threshold;word_regions_flagged
raw,test_12_48,surya,tesseract,24,24,11,12,0.5416666666666666,0.5,24,పి బ య్య వాని సేట్ర పెద్ద పుల్లాల్లి నిరాహార దక్షిణు అనుమతీరార డోర్మాన్ తొలోబడి స్తామని మరికొండలు పాట దంతో తా భీష ట్రై సంక్ర ఉంచో ప్రభావాలు,ఖావిస్తున్నాం మ్లనపు వదీజల్లాతి గీరాహార బొకేలు అసుర తందన కేవా వాంతీ భ బీలీలను చౌడియోసే సర కీ రమ ష్రదయోఎలడై రి వైడన పతిం,0.248062,0.751938,24,true,agreement_below_threshold;word_regions_flagged
raw,test_12_70,surya,tesseract,25,25,14,5,0.44,0.8,25,పట్టు బేయ లేమినీ స్వ స్వ రూపాయ సల పుట్టు వంగ ముల్లు రొచ యానో లు సంగీతపరంగా కాసి పారిశ్రాంతి బాలా మంది దేవోత్సవాల మనుష్య బి జ్ఞలమ్ మధుర,ఆసుఖం౦ంధోరో రగ యాయ సంగోత్రీసరంగా రాజశేఖరం టిఖ్లింగస్లే,0.255319,0.744681,25,true,agreement_below_threshold;word_regions_flagged
