page_key,split,writer_id,page_id,model,input_kind,reference,hypothesis,cer,wer,exact_match,completed_words,expected_words,coverage,missing_output_rate,elapsed_seconds
test_12_113,test,12,113,surya,raw,ఇతరాత్రాకూడా మారాయి అగ్రనేతలను అభిరుచుల్ని చిత్రించలేదు ప్రతిపాదనకు రెండింతలుపెట్టి ఒకామె షేర్లకు మహాదేవునికి అవినీతిని విసీల వెక్కిరించినా తొలిగించి సఫారీలు వ్యవసాయానికి అలవాటుపడిన కిన్సీ ఎన్నింటి కవిత్రయం భవంతిని మారుమూల వసతిని కాస్సేపే మచ్చ,బ్రహ్మానా శ్రోకూడా మౌరా బక్ష్యం బ లేదు ప్రతిపాదనకు గెండింటలు పెట్టి మహా దేవునికి సహా రోటు ప్రవహియానికి ా కవి ఆరోగ్యం ప్రామ మాల కాస్పేట్,0.6378600823045267,1.0,False,25,25,1.0,0.52,499.8159683610029
test_12_125,test,12,125,surya,raw,యింటికి మున్ముందు తేనేటీగల కరిగిస్తుందని వీళ్ళింటికి మాట్లానిద్దాం కనిపిస్తే మార్పులపై ముంజేతికి వుంచుకోవాలో విచారిస్తున్నాం ౯౪ పార్టీలను బయోటెక్నాలజీ కులాసాగా పిల్లలకిష్టమైన ఫిర్యాదు చెప్పుకుంది మార్గాలను ఏరియాలో ఇరుగుపొరుగు శ్రీరాముడు దుర్భరం,పాత్రలలో మాట్లా ని డ్డా ౦ కుని మాస్ట్ మామ లక్ష మంచెంకి పురి గ్రాఫికో వారికో ఎన్నాక స్త్రీ న్నాం పాటలను ‌ ‌ కులా సాగా దీక్ష లక్షణమైన ఘర్వాదు మార్గాల ను విశిష్టాల్యో శ్రోహ ముదు,0.6680327868852459,1.2608695652173914,False,23,23,1.0,0.34782608695652173,464.8900350859949
test_12_131,test,12,131,surya,raw,ఆకాంతి చేయగలిగారు నాకవ్వంబు పక్షము ప్రశ్నలను స్పెషలిస్ట్ ప్రశంసనీయమని పెన్నీ గంగుల అనంతకుమార్ గుర్తిస్తే డీలర్ అన్య తడబడుతుండగా రావటంవల్ల బారికేడ్లను కెనడాలో సూచించారు బాలికలకు హీరోయిజం రథాభిధమ్ అభిరుచిగల చేసేందుకే జేర్చుకుని ద్వేషికి,‍ పక్షయ అనంతకుమార్ స్మార్తు రావటంవటి బా కెనో డ్లి సు సూబి రావారు బౌద్ధకలఘ హౌర్ సిం భే ప్లు కు ని,0.7478632478632479,0.96,False,25,25,1.0,0.6,481.78095651701005
test_12_165,test,12,165,surya,raw,తయారయ్యాడు భారతమంతటా తదానుగుణంగా భక్తుడయినవాడు ఉండడంతో శభాష్ కయ్యానికి అయినప్పుడు వేళ్ల మేలుకంటే సింహాసనములో నవ్వుకుంటూ ఎందుకునమ్మాలి వివిధప్రభుత్వ ఆశించినంతగా తగ్గించుకోవాలి అసత్య ఫోన్లుచేసి అంటూ త్రిష,చనానదు త దౌమ సందార భక్తు తలుపబ్బోరు కలహావత సింహాసన వేయింొం న పువి కు ౦ టూ ఎండుకునమ్మాలి ఎ ఎ డి ప చు లో ఎ అసల్వీ,0.7326732673267327,1.15,False,20,20,1.0,0.55,539.7557956540077
test_12_191,test,12,191,surya,raw,బాధల్లో డ్యూయలింగ్ తగ్గింపు నిజనిర్ధారణ వెనక చెపుతుండగా గుణం తీసుకెళ్లే అద్వానీ పెట్టుబడే థియేటర్లు నవంబర్ జరుగుతుంది కార్యోన్ముఖుల్ని వీటిపై ఐ-ప్యాడ్ పండ్లను సంధ్యకు చైనీయులుండటం నక్షత్రాలు అర్జెంటీనా సవాలును వెంకటరామన్ లభించి గాజువాకలో పనితీరు,బాధల్లో తగిరిపు నిజనిర్దౌరణ వినిక సేవా లి కార్టిస్ నున్న శివాల్ ఎ మరి జ్ఞాను సంభవను సమాజము పరికరా రామన్ పనిలోరు,0.7061224489795919,0.9615384615384616,False,26,26,1.0,0.5769230769230769,510.08883712600436
test_12_195,test,12,195,surya,raw,ఆలోచనలో ఒలకబోస్తున్నా కూల్చివేయండి గ్రహీతకు తప్పుకో వస్తే దెయ్యాలే పొదుపును సినీ కాదనలేక స్పూర్తిదాయకమే దొరికిన పిలుపునకు చెప్పగలరు గురవుతున్నాను దీర్ఘాలోచనలో యువభారతి పయనిస్తారు కావ్యాల పనీపాటాలేనివాడు గడిపినా కొరతల ఏర్పడకుండా చికిత్సకు,కూట్ర వేయిండి గ్రహ లకు తప్పుకొ పేరుాని లే పౌరుపును కారణ లేక స్వాత్రీ దాయకుడు పేట పునరు చెఘ గలదు మరి పురు నా ను దివ్యాంగుల పనిలో మవభరితి పంట నిస్తారు కావ్యాల పనిపాటా లేనివాడు గ బి మీనా కొనువల విశ్వ దక్షుండో బుకిల్‌నీకు,0.5232067510548524,1.4166666666666667,False,24,24,1.0,0.20833333333333334,488.36887603799914
test_12_48,test,12,48,surya,raw,ఓబయ్య భావిస్తున్నాం వ్యాసపు అప్లయి వెదజల్లాల్సి నిరాహారదీక్షలు అనుమతించడంపైనే దీనితో ఆలోచిస్తామని జవాబులో మరికొంచెం అతనితో దేనికైనా పోల్చడంతో శాంతిభద్రతలను నిర్లక్ష్యానికి సాదియాస్ లాభపడ్డాయి మేం సంక్రమించే హృదయాలపై రిజస్ట్రేషన్లు ఆశ్రయించి పాలించే,పి బ య్య వాని సేట్ర పెద్ద పుల్లాల్లి నిరాహార దక్షిణు అనుమతీరార డోర్మాన్ తొలోబడి స్తామని మరికొండలు పాట దంతో తా భీష ట్రై సంక్ర ఉంచో ప్రభావాలు,0.6975806451612904,1.0,False,24,24,1.0,0.5416666666666666,502.7970835800079
test_12_70,test,12,70,surya,raw,తెలుపవలసిన పట్టు అనుబంధాల్లో చేయలేమని ఒకదాని రోజుల్లోకి జరగడంతో జరగకుండా పాల్పడి స్వస్వరూపాయ సెలవుపై తెరకెక్కిస్తోంది వంగముల్లు రీచయ్యాయి సంగీతపరంగా ఆకల్తో రాజశేఖరం కాను పడేస్తుంది చాలామంది దినోత్సవాల పగుళ్లు బిల్లింగ్స్ మధుర జు,పట్టు బేయ లేమినీ స్వ స్వ రూపాయ సల పుట్టు వంగ ముల్లు రొచ యానో లు సంగీతపరంగా కాసి పారిశ్రాంతి బాలా మంది దేవోత్సవాల మనుష్య బి జ్ఞలమ్ మధుర,0.618421052631579,0.88,False,25,25,1.0,0.44,475.8938452059956
test_13_12,test,13,12,surya,raw,కొనసాగించనున్నారు వివక్షతలవంటి ఆటోగ్రాఫ్ లగడపాటి విశ్వాసాన్నీ విషాదాలు సమాఖ్య ఆల్ఫ్రెడ్ సినిమాలోనూ పరిస్థితులవల్ల అక్కడికి జరుగుతున్నా కొలిచి ఘోరాతిఘోరమై హెడ్లీని ప్రకటిస్తున్నాడు బాల్యంలోనే దూరాన చిరంజీవుల ఉభయులూ మూసివేసిన కడియం రాణిస్తాడు,ఎన్నో బిలావంటి ‌ సినిమాలను మౌలిక మౌరిస్తు హ క్లున్ మార్కెటింగు సౌకర్యం మారాన,0.7958333333333333,1.0,False,23,23,1.0,0.6956521739130435,493.1441395520087
test_13_13,test,13,13,surya,raw,సుబ్బారావుగారు సమర్థనీయం ఆలస్యమైంది అత్యవసరంగా అంటున్నారో విద్యలయాల ఆనాటినుంచి చేసుకుని-ఇరవై సభల్లో దొరికిపోయిన జీన్ ఫీవరు యావదాంధ్ర ఛార్జీలు చోటునాది వడ్డన చిన్నచిన్న మనస్సును తలను అభిమాని లీజులు రాయడం హీరోకి జగనే,సమీప రాజధాలు సమాధి స్థాయి ఆలసు ఉంది ‌ విద్యా సౌకర్యాలు సకలో విద్యా,0.822429906542056,1.0,False,24,24,1.0,0.7083333333333334,464.91788907699083
