image_key,page_key,model,input_kind,operation,category,reference_character,hypothesis_character
test/9/13/1,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ొ,
test/9/13/1,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ట,ా
test/9/13/1,test_9_13,surya,raw,substitution,virama_or_conjunct_error,్,హ
test/9/13/1,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ట,ు
test/9/13/1,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ు, 
test/9/13/2,test_9_13,surya,raw,insertion,insertion,,క
test/9/13/2,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ి,ే
test/9/13/2,test_9_13,surya,raw,substitution,base_character_substitution,గ,శ
test/9/13/2,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ే,ి
test/9/13/3,test_9_13,surya,raw,substitution,base_character_substitution,ప,ద
test/9/13/3,test_9_13,surya,raw,substitution,virama_or_conjunct_error,్,ూ
test/9/13/3,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,భ,ం
test/9/13/3,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ు, 
test/9/13/3,test_9_13,surya,raw,substitution,base_character_substitution,త,ల
test/9/13/3,test_9_13,surya,raw,substitution,virama_or_conjunct_error,్,ో
test/9/13/3,test_9_13,surya,raw,substitution,base_character_substitution,వ,న
test/9/13/3,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ా,ి
test/9/13/4,test_9_13,surya,raw,deletion,deletion,ప,
test/9/13/4,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ే,మ
test/9/13/4,test_9_13,surya,raw,substitution,virama_or_conjunct_error,్,ా
test/9/13/4,test_9_13,surya,raw,substitution,base_character_substitution,క,గ
test/9/13/4,test_9_13,surya,raw,substitution,virama_or_conjunct_error,ొ,్
test/9/13/4,test_9_13,surya,raw,substitution,base_character_substitution,న,ర
test/9/13/4,test_9_13,surya,raw,deletion,deletion,ల,
test/9/13/4,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ి,త
test/9/13/5,test_9_13,surya,raw,deletion,deletion,త,
test/9/13/5,test_9_13,surya,raw,deletion,deletion,ర,
test/9/13/5,test_9_13,surya,raw,deletion,deletion,ల,
test/9/13/5,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/13/5,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ం,
test/9/13/5,test_9_13,surya,raw,deletion,deletion,చ,
test/9/13/5,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/13/5,test_9_13,surya,raw,deletion,deletion,ల,
test/9/13/5,test_9_13,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/13/5,test_9_13,surya,raw,deletion,deletion,స,
test/9/13/5,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/13/6,test_9_13,surya,raw,deletion,deletion,చ,
test/9/13/6,test_9_13,surya,raw,deletion,deletion,ల,
test/9/13/6,test_9_13,surya,raw,deletion,deletion,న,
test/9/13/6,test_9_13,surya,raw,deletion,deletion,చ,
test/9/13/6,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/13/6,test_9_13,surya,raw,deletion,deletion,త,
test/9/13/6,test_9_13,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/13/6,test_9_13,surya,raw,deletion,deletion,ర,
test/9/13/7,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ి,ే
test/9/13/7,test_9_13,surya,raw,substitution,base_character_substitution,త, 
test/9/13/7,test_9_13,surya,raw,substitution,virama_or_conjunct_error,్,ల
test/9/13/7,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ర,ి
test/9/13/7,test_9_13,surya,raw,insertion,diacritic_or_vowel_sign_error,,ే
test/9/13/7,test_9_13,surya,raw,insertion,insertion,,ధ
test/9/13/7,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,థ,ే
test/9/13/8,test_9_13,surya,raw,deletion,deletion,స,
test/9/13/8,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/13/8,test_9_13,surya,raw,deletion,deletion,క,
test/9/13/8,test_9_13,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/13/8,test_9_13,surya,raw,deletion,deletion,ష,
test/9/13/8,test_9_13,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/13/8,test_9_13,surya,raw,deletion,deletion,య,
test/9/13/8,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ం,
test/9/13/9,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/13/9,test_9_13,surya,raw,substitution,base_character_substitution,ధ,మ
test/9/13/9,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ి,ం
test/9/13/9,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ం, 
test/9/13/9,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ే,ౌ
test/9/13/9,test_9_13,surya,raw,substitution,base_character_substitution,వ,ద
test/9/13/10,test_9_13,surya,raw,deletion,deletion,ఆ,
test/9/13/10,test_9_13,surya,raw,deletion,deletion,గ,
test/9/13/10,test_9_13,surya,raw,deletion,deletion,మ,
test/9/13/11,test_9_13,surya,raw,deletion,deletion,ఊ,
test/9/13/11,test_9_13,surya,raw,deletion,deletion,హ,
test/9/13/11,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/13/11,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ం,
test/9/13/11,test_9_13,surya,raw,deletion,deletion,చ,
test/9/13/11,test_9_13,surya,raw,deletion,deletion,న,
test/9/13/11,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ి,‍
test/9/13/12,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/13/12,test_9_13,surya,raw,insertion,insertion,,మ
test/9/13/12,test_9_13,surya,raw,insertion,diacritic_or_vowel_sign_error,,ా
test/9/13/12,test_9_13,surya,raw,substitution,base_character_substitution,వ, 
test/9/13/12,test_9_13,surya,raw,insertion,diacritic_or_vowel_sign_error,,ా
test/9/13/12,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ి,ర
test/9/13/12,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ం,ి
test/9/13/12,test_9_13,surya,raw,substitution,base_character_substitution,చ,య
test/9/13/12,test_9_13,surya,raw,substitution,virama_or_conjunct_error,ి,్
test/9/13/13,test_9_13,surya,raw,deletion,deletion,వ,
test/9/13/13,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/13/13,test_9_13,surya,raw,deletion,deletion,ప,
test/9/13/13,test_9_13,surya,raw,deletion,deletion,క,
test/9/13/13,test_9_13,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/13/13,test_9_13,surya,raw,deletion,deletion,ష,
test/9/13/13,test_9_13,surya,raw,deletion,deletion,మ,
test/9/13/13,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ై,
test/9/13/13,test_9_13,surya,raw,deletion,deletion,న,
test/9/13/14,test_9_13,surya,raw,deletion,deletion,చ,
test/9/13/14,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ే,
test/9/13/14,test_9_13,surya,raw,deletion,deletion,త,
test/9/13/14,test_9_13,surya,raw,deletion,deletion,న,
test/9/13/14,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ే,‌
test/9/13/15,test_9_13,surya,raw,deletion,deletion,ఇ,
test/9/13/15,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ం,
test/9/13/15,test_9_13,surya,raw,deletion,deletion,జ,
test/9/13/15,test_9_13,surya,raw,deletion,deletion,న,
test/9/13/15,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ీ,
test/9/13/15,test_9_13,surya,raw,deletion,deletion,ర,
test/9/13/15,test_9_13,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/13/15,test_9_13,surya,raw,deletion,deletion,స,
test/9/13/15,test_9_13,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/13/16,test_9_13,surya,raw,deletion,deletion,న,
test/9/13/16,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/13/16,test_9_13,surya,raw,deletion,deletion,వ,
test/9/13/16,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/13/17,test_9_13,surya,raw,substitution,base_character_substitution,మ,స
test/9/13/17,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ే,ు
test/9/13/18,test_9_13,surya,raw,deletion,deletion,స,
test/9/13/18,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ు,
test/9/13/18,test_9_13,surya,raw,substitution,base_character_substitution,క,మ
test/9/13/18,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ు,మ
test/9/13/19,test_9_13,surya,raw,deletion,deletion,భ,
test/9/13/19,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ో,
test/9/13/19,test_9_13,surya,raw,deletion,deletion,గ,
test/9/13/19,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/13/19,test_9_13,surya,raw,deletion,deletion,ల,
test/9/13/19,test_9_13,surya,raw,deletion,deletion,క,
test/9/13/19,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ు,
test/9/13/20,test_9_13,surya,raw,substitution,base_character_substitution,ల,న
test/9/13/20,test_9_13,surya,raw,deletion,deletion,ల,
test/9/13/20,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ి,న
test/9/13/20,test_9_13,surya,raw,substitution,base_character_substitution,ద,డ
test/9/13/20,test_9_13,surya,raw,insertion,diacritic_or_vowel_sign_error,,ు
test/9/13/21,test_9_13,surya,raw,insertion,insertion,, 
test/9/13/21,test_9_13,surya,raw,insertion,diacritic_or_vowel_sign_error,,ా
test/9/13/22,test_9_13,surya,raw,insertion,diacritic_or_vowel_sign_error,,ొ
test/9/13/22,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ా,త
test/9/13/22,test_9_13,surya,raw,substitution,virama_or_conjunct_error,ల,్
test/9/13/22,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ే,త
test/9/13/22,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ె,ే
test/9/13/22,test_9_13,surya,raw,substitution,diacritic_or_vowel_sign_error,ో,ా
test/9/13/23,test_9_13,surya,raw,deletion,deletion,వ,
test/9/13/23,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/13/23,test_9_13,surya,raw,deletion,deletion,న,
test/9/13/23,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/13/23,test_9_13,surya,raw,deletion,deletion,ప,
test/9/13/23,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/13/23,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ం,
test/9/13/23,test_9_13,surya,raw,deletion,deletion,చ,
test/9/13/23,test_9_13,surya,raw,deletion,deletion,గ,
test/9/13/23,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/13/24,test_9_13,surya,raw,deletion,deletion,ఉ,
test/9/13/24,test_9_13,surya,raw,deletion,deletion,త,
test/9/13/24,test_9_13,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/13/24,test_9_13,surya,raw,deletion,deletion,త,
test/9/13/24,test_9_13,surya,raw,deletion,deletion,ర,
test/9/13/24,test_9_13,surya,raw,deletion,deletion,ఖ,
test/9/13/24,test_9_13,surya,raw,deletion,diacritic_or_vowel_sign_error,ం,
test/9/13/24,test_9_13,surya,raw,deletion,deletion,డ,
test/9/13/24,test_9_13,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/53/1,test_9_53,surya,raw,substitution,base_character_substitution,వ,త
test/9/53/1,test_9_53,surya,raw,substitution,base_character_substitution,వ,త
test/9/53/1,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ా,ూ
test/9/53/1,test_9_53,surya,raw,substitution,base_character_substitution,ల,ర
test/9/53/1,test_9_53,surya,raw,substitution,base_character_substitution,స,ప
test/9/53/1,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ి,ు
test/9/53/2,test_9_53,surya,raw,deletion,deletion,జ,
test/9/53/2,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/53/2,test_9_53,surya,raw,deletion,deletion,గ,
test/9/53/2,test_9_53,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/53/2,test_9_53,surya,raw,deletion,deletion,ర,
test/9/53/2,test_9_53,surya,raw,deletion,deletion,త,
test/9/53/2,test_9_53,surya,raw,deletion,virama_or_conjunct_error,్,
test/9/53/2,test_9_53,surya,raw,deletion,deletion,త,
test/9/53/2,test_9_53,surya,raw,deletion,deletion,ప,
test/9/53/2,test_9_53,surya,raw,deletion,deletion,డ,
test/9/53/2,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ా,
test/9/53/2,test_9_53,surya,raw,deletion,deletion,ల,
test/9/53/2,test_9_53,surya,raw,deletion,diacritic_or_vowel_sign_error,ి,
test/9/53/3,test_9_53,surya,raw,substitution,base_character_substitution,శ,న
test/9/53/3,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,బ,ే
test/9/53/3,test_9_53,surya,raw,substitution,virama_or_conjunct_error,్,ప
test/9/53/3,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ద,ు
test/9/53/4,test_9_53,surya,raw,insertion,insertion,,శ
test/9/53/4,test_9_53,surya,raw,insertion,virama_or_conjunct_error,,్
test/9/53/4,test_9_53,surya,raw,insertion,insertion,,ర
test/9/53/4,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,జ,ీ
test/9/53/4,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ా, 
test/9/53/4,test_9_53,surya,raw,substitution,base_character_substitution,ప,వ
test/9/53/4,test_9_53,surya,raw,insertion,diacritic_or_vowel_sign_error,,ు
test/9/53/5,test_9_53,surya,raw,substitution,base_character_substitution,స,ప
test/9/53/5,test_9_53,surya,raw,substitution,base_character_substitution,థ,ర
test/9/53/5,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ి,ధ
test/9/53/5,test_9_53,surya,raw,substitution,diacritic_or_vowel_sign_error,ర,ా
