page_key,split,writer_id,page_id,ocr_model,input_kind,detected_error_count,flagged_region_count,flagged_region_rate,rejected_detection_count,missing_or_error_words,missing_word_rate,input_tokens,output_tokens,total_tokens
test_9_13,test,9,13,tesseract,processed,13,13,0.5909090909090909,0,2,0.08333333333333333,665,634,1299
test_9_53,test,9,53,tesseract,processed,12,12,0.5714285714285714,0,3,0.125,660,719,1379
test_9_65,test,9,65,tesseract,processed,15,15,0.6521739130434783,1,3,0.11538461538461539,686,763,1449
test_9_91,test,9,91,tesseract,processed,15,15,0.625,0,2,0.07692307692307693,680,587,1267
test_9_166,test,9,166,tesseract,processed,11,11,0.55,2,5,0.2,653,722,1375
test_9_249,test,9,249,tesseract,processed,13,13,0.6842105263157895,0,5,0.20833333333333334,659,760,1419
test_9_252,test,9,252,tesseract,processed,14,14,0.6363636363636364,1,3,0.12,680,763,1443
test_9_393,test,9,393,tesseract,processed,15,15,0.6818181818181818,0,2,0.08333333333333333,680,908,1588
test_12_48,test,12,48,tesseract,processed,15,15,0.7894736842105263,0,5,0.20833333333333334,671,819,1490
test_12_70,test,12,70,tesseract,processed,9,9,0.47368421052631576,0,6,0.24,648,526,1174
test_12_113,test,12,113,tesseract,processed,16,16,0.7619047619047619,0,4,0.16,687,832,1519
test_12_125,test,12,125,tesseract,processed,10,10,0.5555555555555556,0,5,0.21739130434782608,651,662,1313
test_12_131,test,12,131,tesseract,processed,16,16,0.7272727272727273,3,3,0.12,684,1118,1802
test_12_165,test,12,165,tesseract,processed,11,11,0.7857142857142857,0,6,0.3,635,527,1162
test_12_191,test,12,191,tesseract,processed,14,14,0.7,0,6,0.23076923076923078,666,499,1165
test_12_195,test,12,195,tesseract,processed,12,12,0.7058823529411765,0,7,0.2916666666666667,672,457,1129
test_13_2,test,13,2,tesseract,processed,6,6,0.75,0,18,0.6923076923076923,645,250,895
test_13_7,test,13,7,tesseract,processed,6,6,0.75,0,14,0.6363636363636364,628,309,937
test_13_9,test,13,9,tesseract,processed,3,3,0.6,0,18,0.782608695652174,632,173,805
test_13_12,test,13,12,tesseract,processed,3,3,0.42857142857142855,0,16,0.6956521739130435,623,149,772
test_13_13,test,13,13,tesseract,processed,4,4,0.5,0,16,0.6666666666666666,631,181,812
test_13_23,test,13,23,tesseract,processed,5,5,0.5555555555555556,0,14,0.6086956521739131,632,256,888
test_13_24,test,13,24,tesseract,processed,6,6,0.6,0,13,0.5652173913043478,633,242,875
test_13_32,test,13,32,tesseract,processed,7,7,0.6363636363636364,0,15,0.5769230769230769,654,268,922
val_4_69,val,4,69,tesseract,processed,17,17,0.7083333333333334,0,4,0.14285714285714285,662,849,1511
val_4_149,val,4,149,tesseract,processed,14,14,0.6363636363636364,0,2,0.08333333333333333,657,716,1373
val_4_155,val,4,155,tesseract,processed,13,13,0.5416666666666666,0,0,0.0,668,511,1179
val_4_189,val,4,189,tesseract,processed,16,16,0.7619047619047619,0,0,0.0,659,809,1468
val_4_206,val,4,206,tesseract,processed,8,8,0.3333333333333333,0,1,0.04,670,470,1140
val_4_219,val,4,219,tesseract,processed,19,19,0.8636363636363636,0,0,0.0,672,839,1511
val_4_233,val,4,233,tesseract,processed,14,14,0.6363636363636364,2,0,0.0,663,718,1381
val_4_238,val,4,238,tesseract,processed,15,15,0.6521739130434783,0,1,0.041666666666666664,678,744,1422
val_10_53,val,10,53,tesseract,processed,3,3,0.23076923076923078,0,12,0.48,626,202,828
val_10_89,val,10,89,tesseract,processed,4,4,0.5,1,15,0.6521739130434783,628,238,866
val_10_108,val,10,108,tesseract,processed,5,5,0.4166666666666667,1,10,0.45454545454545453,622,291,913
val_10_179,val,10,179,tesseract,processed,9,9,0.6428571428571429,1,12,0.46153846153846156,660,519,1179
val_10_350,val,10,350,tesseract,processed,7,7,0.4375,0,8,0.3333333333333333,640,329,969
val_10_386,val,10,386,tesseract,processed,19,19,0.7916666666666666,0,0,0.0,660,862,1522
val_10_469,val,10,469,tesseract,processed,9,9,0.8181818181818182,0,13,0.5416666666666666,642,427,1069
val_10_480,val,10,480,tesseract,processed,6,6,0.46153846153846156,0,11,0.4583333333333333,649,352,1001
