page_key,split,writer_id,page_id,ocr_model,input_kind,score,reason,error_examples_json,missing_or_error_words,missing_word_rate,rejected_error_example_count,input_tokens,output_tokens,total_tokens
test_9_13,test,9,13,tesseract,raw,1,"Almost all regions are missing or contain implausible fragments. Only a few regions have recognizable Telugu words, but they are mostly garbled.","[""ఇవేంనేవెల"", ""చ లకథోలు"", ""ట్రీగమ"", ""థీటౌంలరీ"", ""వనీవీంటోగా""]",19,0.7916666666666666,0,567,75,642
test_9_53,test,9,53,tesseract,raw,2,A minority of the regions are plausible Telugu words. Most entries are either missing or contain orthographic errors that make them implausible.,"[""స్లోగోత్సటెడౌలీ"", ""న్లోనవేదుల"", ""ప్రీరనివానం"", ""తైన్లియొరు"", ""మ్‌"", ""టర"", ""కౌబక్జెతుల"", ""ఢేన్మాసోంటూ"", ""రజొతరాత"", ""ౌర్తాం"", ""గర్బ్వర్రౌరథం""]",11,0.4583333333333333,0,581,115,696
test_9_65,test,9,65,tesseract,raw,1,"Almost all regions are missing or contain severe OCR errors, with only a few recognizable words.","[""వెం టలోత్తజంతా"", ""క్రేగోయినో"", ""రీయాతోదరపై"", ""లేంసేర"", ""ల్‌రల్‌వోల్ట్‌"", ""రౌం టూక్టైర్‌""]",19,0.7307692307692307,0,590,80,670
test_9_91,test,9,91,tesseract,raw,1,"Almost all regions are missing, fragmented, or orthographically implausible. Only a few regions are recognizable as plausible Telugu words.","[""నిర్చే నుగా ం"", ""లొంి టొహ్టేను"", ""రేనేటైంలోక"", ""లెదోరింలాడం"", ""కుక్టిలాన"", ""యావింబండి"", ""ఎతనాయకుం"", ""డెజౌధినమవై"", ""ాథీంచగా"", ""ఘైప్రన్‌"", ""ఊండబట్టటోక"", ""వేచ్చ్రోస్తాను""]",11,0.4230769230769231,0,605,135,740
test_9_166,test,9,166,tesseract,raw,1,"Almost all regions are missing or garbled, with only a few recognizable words.","[""మ్యోండ్లాతా"", ""టంటోరీతీ"", ""వరగోత్తింతే"", ""బా""]",19,0.76,1,567,59,626
test_9_249,test,9,249,tesseract,raw,1,Almost no usable Telugu can be recovered; severe OCR failure with most regions missing or garbled.,"[""జియోతల్‌"", ""మైథఠొవులంటేరా"", ""శ్రేమోనికిలోడు"", ""డజగయాల్ల"", ""చశౌనరి""]",15,0.625,0,568,71,639
test_9_252,test,9,252,tesseract,raw,1,Almost all regions are missing or contain orthographically implausible outputs. Only a few regions are recognizable as plausible Telugu words.,"[""తఘ్తుతుంది"", ""ఢితల్త్‌మూణీరులో"", ""తీటలస్మ"", ""అనుసరశియం"", ""అవీకలళొలు"", ""మేయయలను""]",17,0.68,0,575,83,658
test_9_393,test,9,393,tesseract,raw,2,"A minority of the regions are plausible Telugu words. Most entries are either missing or contain significant errors, making them unrecognizable.","[""వీజయరామారొంత్ర"", ""రాళౌళ్రూరరాయ్ర"", ""వలకేరింలదం"", ""గుబురొయ"", ""లిదర్సంగా"", ""ఎణేరి లగాల""]",12,0.5,0,574,86,660
test_12_48,test,12,48,tesseract,raw,2,A minority of the regions are plausible Telugu words. Most regions are missing or contain orthographic errors.,"[""వదీజల్లాతి"", ""గీరాహార బొకేలు"", ""అసుర తందన"", ""వాంతీ భ బీలీలను"", ""చౌడియోసే"", ""సర కీ రమ"", ""ష్రదయోఎలడై"", ""రి వైడన""]",12,0.5,0,576,93,669
test_12_70,test,12,70,tesseract,raw,1,"Almost all regions are missing or contain severe OCR errors. Only a few regions are partially recognizable, but they contain errors or are not plausible as standalone words.","[""ఆసుఖం౦ంధోరో"", ""రగ యాయ"", ""సంగోత్రీసరంగా"", ""టిఖ్లింగస్లే""]",20,0.8,0,576,75,651
