page_key,ocr_model,input_kind,region_index,error,correction,reason
test_9_13,tesseract,processed,3,ఉ ు ట్వాలు,ఉత్త్వాలు,The space between 'ఉ' and 'త్త్వాలు' is likely an OCR error.
test_9_13,tesseract,processed,5,౭ ర లీరి బూల్సీ,సరిలీరి బూల్సీ,The numeral '౭' is likely a misrecognition of the Telugu letter 'స'.
test_9_13,tesseract,processed,6,వేఆనే లా,వేగానే లా,The space between 'వే' and 'గానే' is likely an OCR error.
test_9_13,tesseract,processed,7,ల గులు,లగులు,The space between 'ల' and 'గులు' is likely an OCR error.
test_9_13,tesseract,processed,9,నిర్దారీం వయా రు,నిర్దారింపు వారు,'వయా' is likely a misrecognition of 'వారు'.
test_9_13,tesseract,processed,11,ఉీపాంచరీ,ఉపసంహారి,'ఉీపాంచరీ' is not a valid Telugu word; likely misrecognition of 'ఉపసంహారి'.
test_9_13,tesseract,processed,12,నిర్వ యంఆ,నిర్వహణ,'యంఆ' is likely a misrecognition of 'హణ'.
test_9_13,tesseract,processed,18,గొసు ఖం,గోసుఖం,The space between 'గోసు' and 'ఖం' is likely an OCR error.
test_9_13,tesseract,processed,20,వేల్లంస్రదొరు అ,వెల్లంస్రదొరా,The space and extra 'అ' are likely OCR errors.
test_9_13,tesseract,processed,21,మోూటడోఠార౦ర లొ,మోటడోఠారం లో,The numeral '౦' is likely a misrecognition of the letter 'ం'.
test_9_13,tesseract,processed,22,డొదోదెయువొ,దొదోదెయువో,The initial 'డొ' is likely a misrecognition of 'దొ'.
test_9_13,tesseract,processed,23,యేనో శేరి గా,ఏనో శేరిగా,The space between 'యే' and 'నో' is likely an OCR error.
test_9_13,tesseract,processed,24,డోల్మారోసిండ,డోల్మారోసిన్,'డోల్మారోసిండ' is not a valid Telugu word; likely misrecognition of 'డోల్మారోసిన్'.
test_9_53,tesseract,processed,2,నగల దు థడౌల్‌,నగల దుకాణం,'దు థడౌల్‌' is not a plausible Telugu word. 'దుకాణం' (shop) is a more likely correction.
test_9_53,tesseract,processed,4,జ్లొనవము౦,జనవరి,'జ్లొనవము౦' is not a valid Telugu word. 'జనవరి' (January) is a plausible correction.
test_9_53,tesseract,processed,5,వ్రీరనిబానం,వీరనిబంధనం,'వ్రీరనిబానం' is not a valid word. 'వీరనిబంధనం' (heroic composition) is a plausible correction.
