page_key,split,writer_id,page_id,ocr_model,input_kind,score,reason,error_examples_json,missing_or_error_words,missing_word_rate,rejected_error_example_count,input_tokens,output_tokens,total_tokens
test_9_13,test,9,13,surya,raw,2,"A minority of the regions are plausible Telugu words. There are several missing or garbled outputs, significantly affecting the overall quality.","[""మరాగ్రాత"", ""చే లికేధేలు"", ""నర్మా హారియ్"", ""మూడోవారం లాో""]",10,0.4166666666666667,0,572,68,640
test_9_53,test,9,53,surya,raw,2,A minority of the regions are plausible Telugu words. Most regions are missing or contain errors.,"[""హారికేదు"", ""హార్సు నెందుకు"", ""గర్వ కొరణు"", ""ఎన్నికై సారి""]",12,0.5,0,564,57,621
test_9_65,test,9,65,surya,raw,2,A minority of the regions are plausible Telugu words. Most entries are either missing or contain significant errors.,"[""విం టిలా క్షీణ బెంలా"", ""మాసేటివో"", ""కొంటుపైన్""]",12,0.46153846153846156,0,581,58,639
test_9_91,test,9,91,surya,raw,2,A minority of the regions are plausible Telugu words. Many regions are missing or contain fragmented text.,"[""‍"", ""కొంటూ ప్రేమ"", ""వేని మంచి రక"", ""పుట్టి లాగే"", ""దొన్న మాస్టర్‌"", ""గుడి మైన"", ""‍ ‍"", ""వచ్చిన్తాను""]",11,0.4230769230769231,0,565,73,638
test_9_166,test,9,166,surya,raw,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.","[""దండి పోయినాడు"", ""విర్ణుడయ్యారో"", ""పరిగోద్రేంచి"", ""దేవ్య గ్రహాలలో"", ""చోడు కొ"", ""కొన్ని నీయ నౌస"", ""పచ్చి దీని""]",8,0.32,0,571,79,650
test_9_249,test,9,249,surya,raw,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.","[""మ"", ""నాన్మను"", ""విద్యా లింగ"", ""ప్రమాన కొలాడు"", ""బాళి లింమను""]",14,0.5833333333333334,0,554,59,613
test_9_252,test,9,252,surya,raw,3,"The OCR output contains a mix of plausible Telugu words and several missing regions. While many words are recognizable, the presence of multiple [OCR_MISSING] entries significantly impacts the overall quality.","[""‍"", ""దండ వార్తా""]",10,0.4,1,563,62,625
test_9_393,test,9,393,surya,raw,2,A minority of the regions are plausible Telugu words. Most regions are missing or contain non-text symbols.,"[""‍"", ""‌"", ""ఎవరి లోనేనా""]",13,0.5416666666666666,0,554,43,597
test_12_48,test,12,48,surya,raw,2,A minority of the regions are plausible Telugu words. Most entries are either missing or contain fragmented and orthographically implausible outputs.,"[""పి బ య్య"", ""వాని సేట్ర"", ""అనుమతీరార డోర్మాన్"", ""తా భీష ట్రై"", ""సంక్ర ఉంచో""]",13,0.5416666666666666,0,577,76,653
test_12_70,test,12,70,surya,raw,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.","[""బేయ లేమినీ"", ""సల పుట్టు"", ""రొచ యానో లు"", ""బి జ్ఞలమ్""]",11,0.44,0,571,59,630
test_12_113,test,12,113,surya,raw,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.","[""బక్ష్యం బ లేదు"", ""గెండింటలు పెట్టి"", ""సహా రోటు"", ""ప్రామ మాల"", ""కాస్పేట్""]",13,0.52,0,578,61,639
test_12_125,test,12,125,surya,raw,2,A minority of the regions are plausible Telugu words. Most entries are either missing or contain significant errors.,"[""మాట్లా ని డ్డా ౦"", ""కుని మాస్ట్"", ""మామ లక్ష"", ""పురి గ్రాఫికో వారికో"", ""ఎన్నాక స్త్రీ న్నాం"", ""కులా సాగా"", ""విశిష్టాల్యో"", ""శ్రోహ ముదు""]",8,0.34782608695652173,0,566,97,663
test_12_131,test,12,131,surya,raw,2,A minority of the regions are plausible Telugu words. Most regions are missing or contain fragmented and garbled text.,"[""‍"", ""బా కెనో డ్లి సు"", ""హౌర్ సిం"", ""భే ప్లు కు ని""]",15,0.6,0,577,61,638
test_12_165,test,12,165,surya,raw,2,A minority of the regions are plausible Telugu words. Most entries are either missing or contain significant errors.,"[""త దౌమ సందార"", ""భక్తు తలుపబ్బోరు"", ""సింహాసన వేయింొం"", ""న పువి కు ౦ టూ"", ""ఎ ఎ డి ప చు లో ఎ"", ""అసల్వీ""]",11,0.55,0,556,88,644
test_12_191,test,12,191,surya,raw,2,A minority of the OCR outputs are plausible Telugu words. Most regions are missing or contain fragmented and orthographically implausible outputs.,"[""సేవా లి"", ""కార్టిస్ నున్న శివాల్ ఎ"", ""మరి జ్ఞాను"", ""పరికరా రామన్""]",15,0.5769230769230769,0,577,68,645
test_12_195,test,12,195,surya,raw,2,"A minority of the regions are plausible Telugu words, but most are missing, fragmented, or contain errors.","[""పేరుాని లే"", ""చెఘ గలదు"", ""మరి పురు నా ను"", ""మవభరితి"", ""గ బి మీనా"", ""బుకిల్‌నీకు""]",5,0.20833333333333334,0,577,75,652
test_13_2,test,13,2,surya,raw,2,"A minority of the regions are plausible Telugu words, while most are missing or garbled.","[""సిరో ధీరాక్"", ""బా ల్లే రామకు"", ""వ్యాసం పశుగారి"", ""ఎంఎన్ కే పై""]",17,0.6538461538461539,0,584,62,646
test_13_7,test,13,7,surya,raw,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.","[""స్త్రీ యంత్ర లావరాధాట"", ""స ఫిస్ట్ సమాజం"", ""మరిం గుంటుడు"", ""వారి గ్రామీక వేత్తలను""]",13,0.5909090909090909,0,567,64,631
test_13_9,test,13,9,surya,raw,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.","[""ఏ తే రాజు యంది"", ""ఎన్ డి కౌంటర్ ఎస్టి"", ""హాసమాచార"", ""వీహి""]",11,0.4782608695652174,0,565,61,626
test_13_12,test,13,12,surya,raw,2,A minority of the regions are plausible Telugu words. Most regions are missing or contain errors.,"[""హ క్లున్""]",16,0.6956521739130435,0,556,35,591
test_13_13,test,13,13,surya,raw,2,"A minority of the regions are plausible Telugu words, but most are missing or marked as OCR failures.","[""సమీప రాజధాలు"", ""ఆలసు ఉంది"", ""సకలో""]",17,0.7083333333333334,0,557,49,606
test_13_23,test,13,23,surya,raw,2,"Only a minority of the regions are plausible Telugu words. Most regions are missing, leading to a low score.","[""మేంగిల దేశ కు""]",19,0.8260869565217391,1,551,47,598
