page_key,ocr_model,input_kind,region_index,error,correction,reason
test_9_13,tesseract,raw,6,ఇవేంనేవెల,ఇవేమనేవెల,The sequence 'ఇవేంనేవెల' is not a valid Telugu word. The correction 'ఇవేమనేవెల' is more plausible due to common Telugu morphological patterns.
test_9_13,tesseract,raw,7,చ లకథోలు,చలకథోలు,"The space in 'చ లకథోలు' is likely an OCR error, as 'చలకథోలు' is a more plausible Telugu word."
test_9_13,tesseract,raw,10,ట్రీగమ,ట్రిగమ,The sequence 'ట్రీగమ' is not a valid Telugu word. The correction 'ట్రిగమ' is more plausible due to common Telugu phonetic patterns.
test_9_13,tesseract,raw,11,థీటౌంలరీ,థియేటర్లలో,The sequence 'థీటౌంలరీ' is not a valid Telugu word. The correction 'థియేటర్లలో' is more plausible due to common Telugu morphological patterns.
test_9_13,tesseract,raw,23,వనీవీంటోగా,వనీవింట్లో,The sequence 'వనీవీంటోగా' is not a valid Telugu word. The correction 'వనీవింట్లో' is more plausible due to common Telugu morphological patterns.
test_9_53,tesseract,raw,2,స్లోగోత్సటెడౌలీ,స్లోగోత్సవం,The word contains non-Telugu characters and structure; 'స్లోగోత్సవం' is a plausible correction.
test_9_53,tesseract,raw,4,న్లోనవేదుల,లోనవేదుల,The initial 'న' is likely an OCR error; 'లోనవేదుల' is a plausible correction.
test_9_53,tesseract,raw,5,ప్రీరనివానం,ప్రేరణ,The word structure is incorrect; 'ప్రేరణ' is a plausible correction.
test_9_53,tesseract,raw,7,తైన్లియొరు,తైలియూరు,The structure is incorrect; 'తైలియూరు' is a plausible correction.
test_9_53,tesseract,raw,11,మ్‌,ము,The character '్‌' is likely an OCR artifact; 'ము' is a plausible correction.
test_9_53,tesseract,raw,14,టర,టర్,The structure is incomplete; 'టర్' is a plausible correction.
test_9_53,tesseract,raw,16,కౌబక్జెతుల,కౌబ్జెతుల,The structure is incorrect; 'కౌబ్జెతుల' is a plausible correction.
test_9_53,tesseract,raw,17,ఢేన్మాసోంటూ,ధేనుమాసం,The structure is incorrect; 'ధేనుమాసం' is a plausible correction.
test_9_53,tesseract,raw,20,రజొతరాత,రజతరాత,The structure is incorrect; 'రజతరాత' is a plausible correction.
test_9_53,tesseract,raw,21,ౌర్తాం,ఔర్తం,The initial character is incorrect; 'ఔర్తం' is a plausible correction.
test_9_53,tesseract,raw,22,గర్బ్వర్రౌరథం,గర్భవ్రతం,The structure is incorrect; 'గర్భవ్రతం' is a plausible correction.
test_9_65,tesseract,raw,5,వెం టలోత్తజంతా,వెంటలోత్తజంతా,Unnecessary space in the middle of a word.
test_9_65,tesseract,raw,7,క్రేగోయినో,క్రేగోయిన,The ending 'నో' is unlikely in Telugu without context; 'క్రేగోయిన' is a more plausible form.
test_9_65,tesseract,raw,17,లేంసేర,లేంసర్,The ending 'సేర' is uncommon; 'లేంసర్' is a more likely form.
test_9_65,tesseract,raw,19,ల్‌రల్‌వోల్ట్‌,ల్రల్‌వోల్ట్‌,The initial 'ల్‌' is not a valid standalone form; 'ల్రల్‌' is more plausible.
test_9_65,tesseract,raw,24,రౌం టూక్టైర్‌,రౌంటుక్టైర్‌,Unnecessary space in the middle of a word.
test_9_91,tesseract,raw,2,నిర్చే నుగా ం,నిర్ణయంగా,The sequence 'నిర్చే నుగా ం' is not a valid Telugu word. 'నిర్ణయంగా' is a plausible correction based on common Telugu morphology.
test_9_91,tesseract,raw,4,లొంి టొహ్టేను,లోకహ్టేను,The sequence 'లొంి టొహ్టేను' contains misplaced characters. 'లోకహ్టేను' is a more plausible structure.
test_9_91,tesseract,raw,10,లెదోరింలాడం,లేదో రింలాడం,The sequence 'లెదోరింలాడం' is not a valid word. Splitting into 'లేదో రింలాడం' makes it more plausible.
test_9_91,tesseract,raw,11,కుక్టిలాన,కుక్కిలాన,The sequence 'కుక్టిలాన' is not a valid word. 'కుక్కిలాన' is a more plausible correction.
test_9_91,tesseract,raw,13,యావింబండి,యావజ్జీవం,The sequence 'యావింబండి' is not a valid word. 'యావజ్జీవం' is a more plausible correction.
test_9_91,tesseract,raw,14,ఎతనాయకుం,ఎతనాయకుడు,The sequence 'ఎతనాయకుం' is not a valid word. 'ఎతనాయకుడు' is a more plausible correction.
test_9_91,tesseract,raw,15,డెజౌధినమవై,డెజౌధినమవు,The sequence 'డెజౌధినమవై' is not a valid word. 'డెజౌధినమవు' is a more plausible correction.
test_9_91,tesseract,raw,18,ాథీంచగా,ఆధీంచగా,The sequence 'ాథీంచగా' is missing an initial vowel. 'ఆధీంచగా' is a more plausible correction.
test_9_91,tesseract,raw,19,వైవయైన,వైవాహిక,The sequence 'వైవయైన' is not a valid word. 'వైవాహిక' is a more plausible correction.
test_9_91,tesseract,raw,24,ఘైప్రన్‌,హైప్రన్‌,The sequence 'ఘైప్రన్‌' is not a valid word. 'హైప్రన్‌' is a more plausible correction.
test_9_91,tesseract,raw,25,ఊండబట్టటోక,ఊండబట్టుకో,The sequence 'ఊండబట్టటోక' is not a valid word. 'ఊండబట్టుకో' is a more plausible correction.
