image_key,page_key,model,input_kind,reference,hypothesis,cer,exact_match,categories,error_category_count
test/9/13/1,test_9_13,surya,raw,బొట్టుపైనా,బాహు పైనా,0.5,False,diacritic_or_vowel_sign_error;virama_or_conjunct_error;word_boundary_split_or_join,3
test/9/13/2,test_9_13,surya,raw,మూలిగే,మూలకేశి,0.6666666666666666,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion,3
test/9/13/3,test_9_13,surya,raw,ప్రభుత్వాలు,దూరం లోనిలు,0.7272727272727273,False,base_character_substitution;diacritic_or_vowel_sign_error;virama_or_conjunct_error;word_boundary_split_or_join,4
test/9/13/4,test_9_13,surya,raw,పేర్కొనాలి,మరాగ్రాత,0.8,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error;virama_or_conjunct_error,4
test/9/13/5,test_9_13,surya,raw,తరలించాల్సి,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4
test/9/13/6,test_9_13,surya,raw,చలనచిత్ర,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4
test/9/13/7,test_9_13,surya,raw,చిత్రకథలు,చే లికేధేలు,0.7777777777777778,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5
test/9/13/8,test_9_13,surya,raw,సాక్ష్యం,,1.0,False,deletion;diacritic_or_vowel_sign_error;missing_output;virama_or_conjunct_error,4
test/9/13/9,test_9_13,surya,raw,నిర్ధారించేవారు,నర్మారం చౌదారు,0.4,False,base_character_substitution;diacritic_or_vowel_sign_error;word_boundary_split_or_join,3
test/9/13/10,test_9_13,surya,raw,ఆగమ,,1.0,False,deletion;missing_output,2
test/9/13/11,test_9_13,surya,raw,ఊహించని,‍,1.0,False,deletion;diacritic_or_vowel_sign_error,2
test/9/13/12,test_9_13,surya,raw,నిర్వహించి,నర్మా హారియ్,0.9,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion;virama_or_conjunct_error;word_boundary_split_or_join,5
