model,comparison,baseline_stage,candidate_stage,image_key,page_key,reference,baseline_hypothesis,candidate_hypothesis,baseline_cer,candidate_cer,cer_delta,baseline_wer,candidate_wer,wer_delta,baseline_exact_match,candidate_exact_match,exact_match_delta,baseline_missing_output,candidate_missing_output,missing_output_delta,baseline_runtime,candidate_runtime,runtime_delta
surya,raw_to_run_1,raw,run_1,test/12/113/1,test_12_113,ఇతరాత్రాకూడా,బ్రహ్మానా శ్రోకూడా,‌,0.8333333333333334,1.0,0.16666666666666663,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.441285837998294,23.15977156100007,-5.281514276998223
surya,raw_to_run_1,raw,run_1,test/12/113/10,test_12_113,మహాదేవునికి,మహా దేవునికి,మహా పనికి,0.09090909090909091,0.36363636363636365,0.2727272727272727,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.99337461200048,21.355809404999945,-1.6375652070005344
surya,raw_to_run_1,raw,run_1,test/12/113/11,test_12_113,అవినీతిని,,ఆవిని తీవ్రి,1.0,0.7777777777777778,-0.2222222222222222,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,18.579424334999203,14.075135356999908,-4.504288977999295
surya,raw_to_run_1,raw,run_1,test/12/113/12,test_12_113,విసీల,,ఎన్నిక,1.0,1.2,0.19999999999999996,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,13.123262645000068,12.14031516499972,-0.9829474800003482
surya,raw_to_run_1,raw,run_1,test/12/113/13,test_12_113,వెక్కిరించినా,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22.22238025900151,29.668041414000072,7.445661154998561
surya,raw_to_run_1,raw,run_1,test/12/113/14,test_12_113,తొలిగించి,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.514534137000737,15.018301839999822,-2.4962322970009154
surya,raw_to_run_1,raw,run_1,test/12/113/15,test_12_113,సఫారీలు,సహా రోటు,సుధా రాయి,0.5714285714285714,0.8571428571428571,0.2857142857142857,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.118192770998576,15.186979357000382,-1.9312134139981936
surya,raw_to_run_1,raw,run_1,test/12/113/16,test_12_113,వ్యవసాయానికి,ప్రవహియానికి,ప్వర్ణసాయానికి,0.3333333333333333,0.4166666666666667,0.08333333333333337,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.707169515000714,27.62137740900016,1.9142078939994462
surya,raw_to_run_1,raw,run_1,test/12/113/17,test_12_113,అలవాటుపడిన,ా,బ్రిటిష్ యా క్రీడా వ్యవస్థ,0.9,2.4,1.5,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.09140429800027,35.36607990499988,7.274675606999608
surya,raw_to_run_1,raw,run_1,test/12/113/18,test_12_113,కిన్సీ,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0457538940027,24.576014827000108,14.530260932997408
surya,raw_to_run_1,raw,run_1,test/12/113/19,test_12_113,ఎన్నింటి,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.93446626900186,36.36243450399979,19.427968234997934
surya,raw_to_run_1,raw,run_1,test/12/113/2,test_12_113,మారాయి,మౌరా,పారా లు,0.5,0.6666666666666666,0.16666666666666663,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.022507603000122,7.666579080999782,-9.35592852200034
surya,raw_to_run_1,raw,run_1,test/12/113/20,test_12_113,కవిత్రయం,కవి ఆరోగ్యం,కుడి లోయలు,0.625,0.875,0.25,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.61313681899992,50.68231627399973,31.069179454999812
surya,raw_to_run_1,raw,run_1,test/12/113/21,test_12_113,భవంతిని,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.997382696998102,35.94190028699995,18.94451759000185
surya,raw_to_run_1,raw,run_1,test/12/113/22,test_12_113,మారుమూల,ప్రామ మాల,మారు మూల,0.8571428571428571,0.14285714285714285,-0.7142857142857142,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.551588733000244,40.14524685000015,18.593658116999904
surya,raw_to_run_1,raw,run_1,test/12/113/23,test_12_113,వసతిని,,పసిల్ గా,1.0,1.1666666666666667,0.16666666666666674,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,14.852414337001392,39.17225046300018,24.31983612599879
surya,raw_to_run_1,raw,run_1,test/12/113/24,test_12_113,కాస్సేపే,కాస్పేట్,కాస్పెన్,0.375,0.5,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.030811093998636,43.48733307299972,28.45652197900108
surya,raw_to_run_1,raw,run_1,test/12/113/25,test_12_113,మచ్చ,,ముగ్గు,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,17.409833403999073,37.107740423999985,19.697907020000912
surya,raw_to_run_1,raw,run_1,test/12/113/3,test_12_113,అగ్రనేతలను,,అగ్రనేతలను,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,-1.0,25.548675195001124,16.018035799000245,-9.530639396000879
surya,raw_to_run_1,raw,run_1,test/12/113/4,test_12_113,అభిరుచుల్ని,,‍,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,24.849189191001642,16.675739598999826,-8.173449592001816
surya,raw_to_run_1,raw,run_1,test/12/113/5,test_12_113,చిత్రించలేదు,బక్ష్యం బ లేదు,బక్ష్యం చేవేదు,0.75,0.75,0.0,3.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.004150528999162,20.620273317999818,-4.383877210999344
surya,raw_to_run_1,raw,run_1,test/12/113/6,test_12_113,ప్రతిపాదనకు,ప్రతిపాదనకు,ప్రతిపాదనకు,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,23.748507410997263,13.705796210999779,-10.042711199997484
surya,raw_to_run_1,raw,run_1,test/12/113/7,test_12_113,రెండింతలుపెట్టి,గెండింటలు పెట్టి,గెండింపులు పెట్టి,0.2,0.26666666666666666,0.06666666666666665,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.783308161000605,22.153662250999787,-8.629645910000818
surya,raw_to_run_1,raw,run_1,test/12/113/8,test_12_113,ఒకామె,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.596147727002972,9.359984163000263,-3.236163564002709
surya,raw_to_run_1,raw,run_1,test/12/113/9,test_12_113,షేర్లకు,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.037066886998218,10.907387492999987,-3.129679393998231
surya,raw_to_run_1,raw,run_1,test/12/125/1,test_12_125,యింటికి,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15.826620633000857,39.116474471999936,23.28985383899908
surya,raw_to_run_1,raw,run_1,test/12/125/10,test_12_125,వుంచుకోవాలో,పురి గ్రాఫికో వారికో,ప్రాం సినీ వారికో,1.2727272727272727,1.1818181818181819,-0.09090909090909083,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.894820892997814,88.41730662200007,62.522485729002256
surya,raw_to_run_1,raw,run_1,test/12/125/11,test_12_125,విచారిస్తున్నాం,ఎన్నాక స్త్రీ న్నాం,విచారి స్తు న్నాం,0.6666666666666666,0.13333333333333333,-0.5333333333333333,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9754076370009,92.97266934599975,64.99726170899885
surya,raw_to_run_1,raw,run_1,test/12/125/12,test_12_125,౯౪,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.552111019998847,54.27526333500009,45.72315231500124
surya,raw_to_run_1,raw,run_1,test/12/125/13,test_12_125,పార్టీలను,పాటలను,పారిశ్రమ,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.075128409000172,16.535200004000217,-0.5399284049999551
surya,raw_to_run_1,raw,run_1,test/12/125/14,test_12_125,బయోటెక్నాలజీ,‌ ‌,,1.0,1.0,0.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,28.243314871997427,28.742796641992754,0.49948176999532734
surya,raw_to_run_1,raw,run_1,test/12/125/15,test_12_125,కులాసాగా,కులా సాగా,కులా సాగా,0.125,0.125,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.119719626000006,12.175633574996027,-5.944086051003978
surya,raw_to_run_1,raw,run_1,test/12/125/16,test_12_125,పిల్లలకిష్టమైన,దీక్ష లక్షణమైన,,0.5714285714285714,1.0,0.4285714285714286,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,25.389302881998447,23.03333523598849,-2.355967646009958
surya,raw_to_run_1,raw,run_1,test/12/125/17,test_12_125,ఫిర్యాదు,ఘర్వాదు,,0.375,1.0,0.625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.45394271799887,9.740316283001448,-5.713626434997423
surya,raw_to_run_1,raw,run_1,test/12/125/18,test_12_125,చెప్పుకుంది,,చెన్నుకుంటి,1.0,0.2727272727272727,-0.7272727272727273,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,21.686618997999176,16.933238407989847,-4.753380590009328
surya,raw_to_run_1,raw,run_1,test/12/125/19,test_12_125,మార్గాలను,మార్గాల ను,,0.1111111111111111,1.0,0.8888888888888888,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,19.48172721899755,16.912629689002642,-2.569097529994906
surya,raw_to_run_1,raw,run_1,test/12/125/2,test_12_125,మున్ముందు,,మునుగెండు,1.0,0.4444444444444444,-0.5555555555555556,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,20.996909082001366,51.25714908600003,30.26024000399866
surya,raw_to_run_1,raw,run_1,test/12/125/20,test_12_125,ఏరియాలో,విశిష్టాల్యో,విశిష్టుల్తా,1.1428571428571428,1.4285714285714286,0.2857142857142858,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.789997124000365,17.29074350799783,-2.499253616002534
surya,raw_to_run_1,raw,run_1,test/12/125/21,test_12_125,ఇరుగుపొరుగు,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,25.56950224100001,23.739600069005974,-1.8299021719940356
surya,raw_to_run_1,raw,run_1,test/12/125/22,test_12_125,శ్రీరాముడు,శ్రోహ ముదు,శ్రీరామదేవి,0.4,0.4,0.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.739657109999825,13.619412875996204,-7.120244234003621
surya,raw_to_run_1,raw,run_1,test/12/125/23,test_12_125,దుర్భరం,,ఉత్పత్తి,1.0,1.1428571428571428,0.1428571428571428,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,17.126137508003012,8.997247027000412,-8.1288904810026
surya,raw_to_run_1,raw,run_1,test/12/125/3,test_12_125,తేనేటీగల,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18.484013483001036,77.74791617799974,59.263902694998706
surya,raw_to_run_1,raw,run_1,test/12/125/4,test_12_125,కరిగిస్తుందని,,‍,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,23.796891777001292,68.72273702300026,44.92584524599897
surya,raw_to_run_1,raw,run_1,test/12/125/5,test_12_125,వీళ్ళింటికి,పాత్రలలో,,0.9090909090909091,1.0,0.09090909090909094,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.103195245999814,82.76595778499996,64.66276253900014
surya,raw_to_run_1,raw,run_1,test/12/125/6,test_12_125,మాట్లానిద్దాం,మాట్లా ని డ్డా ౦,మాట్లాని డ్రౌం,0.46153846153846156,0.3076923076923077,-0.15384615384615385,4.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.195885625998926,68.8651684700003,45.66928284400137
surya,raw_to_run_1,raw,run_1,test/12/125/7,test_12_125,కనిపిస్తే,కుని మాస్ట్,కుంటున్నా,0.6666666666666666,0.7777777777777778,0.11111111111111116,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.754673950999859,51.82496124900035,37.070287298000494
surya,raw_to_run_1,raw,run_1,test/12/125/8,test_12_125,మార్పులపై,మామ లక్ష,,0.7777777777777778,1.0,0.2222222222222222,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,20.082570511000085,62.22329121499979,42.140720703999705
surya,raw_to_run_1,raw,run_1,test/12/125/9,test_12_125,ముంజేతికి,మంచెంకి,మంచేరిక,0.5555555555555556,0.4444444444444444,-0.11111111111111116,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.551886519999243,49.634806631000174,31.08292011100093
surya,raw_to_run_1,raw,run_1,test/12/131/1,test_12_131,ఆకాంతి,‍,‍,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01775803000055,9.682496344990795,-6.335261685009755
surya,raw_to_run_1,raw,run_1,test/12/131/10,test_12_131,అనంతకుమార్,అనంతకుమార్,బ్రహ్మాత్మమౌన్,0.0,1.1,1.1,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,26.393833582998923,22.037493960000575,-4.356339622998348
surya,raw_to_run_1,raw,run_1,test/12/131/11,test_12_131,గుర్తిస్తే,స్మార్తు,,0.7,1.0,0.30000000000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.811532149000413,10.133497556991642,-2.678034592008771
surya,raw_to_run_1,raw,run_1,test/12/131/12,test_12_131,డీలర్,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.330578405999404,8.58745525899576,-3.7431231470036437
surya,raw_to_run_1,raw,run_1,test/12/131/13,test_12_131,అన్య,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.122820291002427,5.721913369008689,-5.400906921993737
surya,raw_to_run_1,raw,run_1,test/12/131/14,test_12_131,తడబడుతుండగా,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,31.665164090998587,22.93320197900175,-8.731962111996836
