page_key,ocr_model,input_kind,region_index,error,correction,reason
test_9_13,surya,processed,1,బహిరంగ వైనా,బహిరంగ వేదిక,'వైనా' is not a plausible standalone word in Telugu. 'వేదిక' is a common word that fits orthographically.
test_9_13,surya,processed,3,దూరం లోనిలు,దూరంలో నిలు,'లోనిలు' is not a valid standalone form. 'లో' and 'నిలు' are separate words that fit better orthographically.
test_9_13,surya,processed,7,చి లికేధలు,చిలుకేధలు,The space in 'చి లికేధలు' is incorrect. 'చిలుకేధలు' is a plausible compound word.
test_9_13,surya,processed,9,నర్మా రీతి చెల్‌యా దు,నర్మరీతి చేయలేదు,'చెల్‌యా దు' is not a valid form. 'చేయలేదు' is a common word that fits orthographically.
test_9_13,surya,processed,23,మనో పరిబ్రహ్ం,మనోపరిబ్రహ్మ,'పరిబ్రహ్ం' is not a valid form. 'పరిబ్రహ్మ' is a plausible correction.
test_9_53,surya,processed,1,స్థానా,స్థానం,'స్థానా' is not a valid standalone word; 'స్థానం' is the correct form.
test_9_53,surya,processed,2,గళ్ళుపడాలి,గళ్ళు పడాలి,Missing space between 'గళ్ళు' and 'పడాలి'.
test_9_53,surya,processed,4,శ్రో నటదులు,శ్రోతలు,'శ్రో నటదులు' is not a valid form; 'శ్రోతలు' is the correct word.
test_9_53,surya,processed,6,గుట్టాను నారంగా,గుట్టాను నారింజ,'నారంగా' is not a standalone word; 'నారింజ' is the correct form.
test_9_53,surya,processed,8,సుమ్మోలా,సుమ్మగా,'సుమ్మోలా' is not a valid form; 'సుమ్మగా' is the correct word.
test_9_53,surya,processed,12,హాస్పన్,హాస్పిటల్,'హాస్పన్' is not a valid word; 'హాస్పిటల్' is the correct form.
test_9_53,surya,processed,13,భాగముక్రి లు,భాగముక్కలు,'భాగముక్రి' is not a valid form; 'భాగముక్కలు' is the correct word.
test_9_53,surya,processed,19,గాయప్తి,గాయపాటు,'గాయప్తి' is not a valid form; 'గాయపాటు' is the correct word.
test_9_53,surya,processed,22,గర్భ కొరణం,గర్భకోణం,'గర్భ కొరణం' is not a valid form; 'గర్భకోణం' is the correct word.
test_9_53,surya,processed,23,ముఖ్యపాత పుట్టు,ముఖ్యపాత్ర పుట్టు,'ముఖ్యపాత' is not a valid form; 'ముఖ్యపాత్ర' is the correct word.
test_9_65,surya,processed,3,సాగు వై టి,సాగు వైటి,Unnecessary space in the middle of a word.
test_9_65,surya,processed,8,తోమిరి దా,తోమిరిదా,Unnecessary space in the middle of a word.
test_9_65,surya,processed,10,సంసిం బాద్రు,సంసింబాద్రు,Unnecessary space in the middle of a word.
test_9_65,surya,processed,13,నీటి బలంకాను,నీటిబలంకాను,Unnecessary space in the middle of a word.
test_9_65,surya,processed,20,సేవ లకు,సేవలకు,Unnecessary space in the middle of a word.
test_9_65,surya,processed,24,కొం టాక్సిక్,కాంటాక్సిక్,Unnecessary space and incorrect segmentation of a loanword.
test_9_91,surya,processed,4,కొం లూ క్రై ను,కొంక్రైను,The spaces within the word are unlikely; 'కొంక్రైను' is a more plausible single word.
test_9_91,surya,processed,8,ప్రవేృ,ప్రవేశ,The character sequence 'ేృ' is not a valid combination in Telugu; 'ప్రవేశ' is a common word.
test_9_91,surya,processed,11,పేర్లు లాణ్‌,పేర్లులైన్,The space and special character are unlikely; 'పేర్లులైన్' is a more plausible single word.
test_9_91,surya,processed,17,దొన్న యా ప్రవీర,దొన్నప్రవీర,The spaces within the word are unlikely; 'దొన్నప్రవీర' is a more plausible single word.
test_9_91,surya,processed,23,అనుగుణ మ్తేసి,అనుగుణమ్తేసి,The space within the word is unlikely; 'అనుగుణమ్తేసి' is a more plausible single word.
test_9_166,surya,processed,8,విద్యుద రాన్సిగ్రీ,విద్యుద్రాన్సిగ్రీ,Unnecessary space in compound word.
test_9_166,surya,processed,11,మరిగోద్వరిచిక్,మరిగోదావరి,Non-standard suffix 'చిక్' is unlikely in Telugu.
test_9_166,surya,processed,12,హౌయం పోటీ,హౌసింగ్ పోటీ,'హౌయం' is not a valid Telugu word; likely intended 'హౌసింగ్'.
test_9_166,surya,processed,15,చౌతు హౌ,చౌక హౌస్,'చౌతు' is not a valid Telugu word; likely intended 'చౌక'.
test_9_166,surya,processed,19,కొన్ని నీయ నౌస,కొన్నినీ నౌక,'నీయ' is not a valid Telugu word; likely intended 'నీ'.
test_9_166,surya,processed,21,సముద్రపు భాంవన,సముద్రపు భావన,'భాంవన' is not a valid Telugu word; likely intended 'భావన'.
test_9_166,surya,processed,23,గుర్తు కొన్నిరు,గుర్తుకొన్నారు,'కొన్నిరు' is not a valid Telugu form; likely intended 'కొన్నారు'.
test_9_166,surya,processed,24,పచ్చిక దినో,పచ్చిక దినం,'దినో' is not a valid Telugu word; likely intended 'దినం'.
test_9_166,surya,processed,25,బౌద్య పు్,బౌద్ధ పుట,'బౌద్య' is not a valid Telugu word; likely intended 'బౌద్ధ'.
test_9_249,surya,processed,8,నీరం కేంద్రం,నీటి కేంద్రం,'నీరం' is not a standalone word in Telugu; 'నీటి' (of water) is more plausible.
test_9_249,surya,processed,9,విద్యా లింగా,విద్యాలయం,'లింగా' is not a valid suffix here; 'విద్యాలయం' (school) is a common word.
test_9_249,surya,processed,10,ప్రమాణకిలోదు,ప్రమాణికలోదు,'ప్రమాణకిలోదు' is not a valid form; 'ప్రమాణిక' (standard) is a common prefix.
test_9_249,surya,processed,14,బాగు వాడుకు,బాగు వాడుక,'వాడుకు' is not a valid form; 'వాడుక' (usage) is a common word.
test_9_252,surya,processed,5,ఉత్పహ్నా,ఉత్పత్తి,"'ఉత్పహ్నా' is not a valid Telugu word. 'ఉత్పత్తి' is a common word meaning 'production', which fits orthographically."
test_9_252,surya,processed,12,పెరి బ్రౌంయం,పెరియార్,'పెరి బ్రౌంయం' is not a valid Telugu word. 'పెరియార్' is a known name and fits the orthographic pattern.
test_9_252,surya,processed,14,పారిశ్రామికోద్యోగ్య,పారిశ్రామికోద్యోగం,'పారిశ్రామికోద్యోగ్య' is not a valid form. 'పారిశ్రామికోద్యోగం' is a valid word meaning 'industrial employment'.
test_9_252,surya,processed,16,బెన్నెస్కో నాగర్ లిమ్సా,బెంగళూరు నగర లిమిటెడ్,'బెన్నెస్కో నాగర్ లిమ్సా' is not a valid Telugu phrase. 'బెంగళూరు నగర లిమిటెడ్' is a plausible correction based on common usage.
test_9_252,surya,processed,17,ప్రయోగావకాహారాలన్ని,ప్రయోగావకాశాలన్ని,'ప్రయోగావకాహారాలన్ని' is not a valid word. 'ప్రయోగావకాశాలన్ని' meaning 'all opportunities for experimentation' fits orthographically.
test_9_393,surya,processed,11,స్వాతాయ కర్మ,స్వాతంత్ర్య కర్మ,'స్వాతాయ' is not a valid Telugu word. 'స్వాతంత్ర్య' is a common prefix meaning 'freedom'.
test_9_393,surya,processed,16,ప్రాడోనోని యోలా,ప్రాధాన్య యోచన,"'ప్రాడోనోని' is not a valid Telugu word. 'ప్రాధాన్య' means 'importance', which fits orthographically."
test_9_393,surya,processed,22,దేవుి నందం,దేవుని నందం,'దేవుి' is not valid. 'దేవుని' is a common form referring to 'of God'.
test_9_393,surya,processed,23,ఎవరి లోనే నా,ఎవరిలోనైనా,'ఎవరి లోనే నా' is fragmented. 'ఎవరిలోనైనా' is a valid compound meaning 'in anyone'.
test_9_393,surya,processed,24,ప్రశిల పోటీ,ప్రశ్నల పోటీ,"'ప్రశిల' is not valid. 'ప్రశ్నల' means 'questions', which is a common word."
test_12_48,surya,processed,6,నిరాహార దక్షిణు,నిరాహార దక్షిణ,The word 'దక్షిణు' is likely a truncation or error; 'దక్షిణ' is a more plausible form.
test_12_48,surya,processed,18,లాభిను ట్రైవా,లాభిని ట్రైబల్,'ట్రైవా' is not a valid form; 'ట్రైబల్' is a more plausible correction.
test_12_48,surya,processed,20,సంక్ర హ్,సంక్రాంతి,'సంక్ర హ్' is not a valid form; 'సంక్రాంతి' is a more plausible correction.
test_12_70,surya,processed,9,పాట ఉ,పాట,"The sequence 'ఉ' is likely an OCR artifact or error following 'పాట', which is a complete word."
test_12_70,surya,processed,10,స్వ స్వ రూపాయ,స్వరూపాయ,"The repetition 'స్వ స్వ' is likely an OCR error, and 'స్వరూపాయ' is a plausible correction."
test_12_70,surya,processed,13,వంగ ముల్లు,వంగముల్లు,"The space in 'వంగ ముల్లు' is likely an OCR error, as 'వంగముల్లు' is a valid compound word."
test_12_70,surya,processed,20,బాలా మంది,బాలమంది,"The space in 'బాలా మంది' is likely an OCR error, as 'బాలమంది' is a valid compound word."
test_12_70,surya,processed,21,దేవాత్మ వాలి,దేవాత్మవాలి,"The space in 'దేవాత్మ వాలి' is likely an OCR error, as 'దేవాత్మవాలి' is a valid compound word."
test_12_70,surya,processed,22,మాట్ల,మాట్లాడ,'మాట్ల' is incomplete and 'మాట్లాడ' is a more probable complete form.
test_12_70,surya,processed,23,బి జ్ఞలమ్,విజ్ఞలమ్,"The sequence 'బి జ్ఞలమ్' is likely an OCR error, and 'విజ్ఞలమ్' is a plausible correction."
test_12_113,surya,processed,2,మౌరా లు,మౌరాలు,Unnecessary space in the middle of a single word.
test_12_113,surya,processed,5,బక్ష్యం చలేదు,బక్ష్యం,Unnecessary space and additional characters; 'చలేదు' is not part of a single word.
test_12_113,surya,processed,7,గెండింటలు పెట్టి,గెండింటలు,Unnecessary space and additional characters; 'పెట్టి' is not part of a single word.
test_12_113,surya,processed,17,బిలి డా టెవె,బిల్డింగ్,Unnecessary spaces and incorrect segmentation; likely intended to be a single word.
test_12_113,surya,processed,19,ని ర టి,నిరటి,Unnecessary spaces within a single word.
test_12_113,surya,processed,20,కవ లోయం,కవలయం,Unnecessary space in the middle of a single word.
test_12_113,surya,processed,22,మారు మూల,మారుమూల,Unnecessary space in the middle of a single word.
test_12_113,surya,processed,23,పసిల్ గా,పసిల్గా,Unnecessary space in the middle of a single word.
test_12_113,surya,processed,24,కాస్పెడా,కాస్పెరా,Orthographic error; likely a misreading of similar characters.
test_12_125,surya,processed,6,మాట్లా ని డ్లా ౦,మాట్లాడడం,"The OCR output contains unnecessary spaces and a numeral, which is not typical in Telugu words."
test_12_125,surya,processed,10,ప్రాం బెకో వాలో,ప్రాంబెకోవాలో,"The OCR output contains unnecessary spaces, which disrupt the word structure."
test_12_125,surya,processed,15,కులా సాగా,కులాసాగా,"The OCR output contains an unnecessary space, which disrupts the word structure."
test_12_125,surya,processed,17,రావ దు,రావదు,"The OCR output contains an unnecessary space, which disrupts the word structure."
test_12_125,surya,processed,19,మార్గాల న్న,మార్గాలను,"The OCR output contains an unnecessary space and an incorrect suffix, which disrupts the word structure."
test_12_125,surya,processed,20,విశిష్టుల్తా,విశిష్టులత,"The OCR output contains an incorrect suffix, which disrupts the word structure."
test_12_125,surya,processed,22,చోరా మదు,చోరమదు,"The OCR output contains an unnecessary space, which disrupts the word structure."
test_12_131,surya,processed,4,పక్షయ,పక్షి,'పక్షయ' is not a valid Telugu word. 'పక్షి' (meaning bird) is a more plausible correction.
test_12_131,surya,processed,15,గ్రామ టందటి,గ్రామ పందటి,'టందటి' is not a valid Telugu word. 'పందటి' (meaning fair or festival) is a more plausible correction.
test_12_131,surya,processed,16,బా కోడ్ లైన్,బార్ కోడ్ లైన్,'బా' is incomplete. 'బార్' (meaning bar) is a more plausible correction.
test_12_131,surya,processed,18,స్వా ౦ ౮ ఝ,స్వామిజి,The sequence '౦ ౮ ఝ' is not valid. 'స్వామిజి' (a respectful term for a spiritual leader) is a plausible correction.
test_12_131,surya,processed,20,హౌర్ బు సిం,హౌస్ బిల్డింగ్,'బు సిం' is not valid. 'బిల్డింగ్' (meaning building) is a plausible correction.
test_12_131,surya,processed,24,శ్రీ స్త్రీ కు ని,శ్రీ స్త్రీకుని,'కు ని' is not a valid separation. 'స్త్రీకుని' (a form of address) is a plausible correction.
test_12_165,surya,processed,1,ప్రమాణమౌనిదు,ప్రమాణమౌనిది,The ending 'దు' is less common than 'ది' for this form.
test_12_165,surya,processed,3,త్రిప్రామ సందాంగా,త్రిప్రాసందంగా,The word 'సందాంగా' is likely a misreading of 'సందంగా'.
test_12_165,surya,processed,4,భక్తు తలుపబాడు,భక్తుడు తలుపబాడు,'భక్తు' is likely a misreading of 'భక్తుడు'.
test_12_165,surya,processed,7,కయ్యాన్క,కయ్యాంక,The sequence 'యాన్క' is likely a misreading of 'యాంక'.
test_12_165,surya,processed,11,సింహాసన వేయలతో,సింహాసనమేయలతో,'వేయలతో' is likely a misreading of 'మేయలతో'.
test_12_165,surya,processed,12,న పువి కు ంటూ,నిప్పు వికుంటూ,The spaces and sequence 'పువి' suggest a misreading of 'నిప్పు'.
test_12_165,surya,processed,13,ఎండుట నమోగే లో,ఎండుటనమోగేలో,The spaces are likely incorrect in this sequence.
test_12_165,surya,processed,14,ఎమిడి ప చుట్టుపొ్,ఎమిడిపుచుట్టుపో,The spaces and ending 'పొ్' suggest a misreading of 'పో'.
test_12_165,surya,processed,18,పోషణ బోస్,పోషణబోస్,The space is likely incorrect in this sequence.
test_12_191,surya,processed,4,నిజనిర్దౌరణ,నిజనిర్ధారణ,"The word 'నిర్దౌరణ' is not a valid Telugu word. The correct form is 'నిర్ధారణ', which means 'determination' or 'verification'."
test_12_191,surya,processed,6,వెళుతుంటే గా,వెళుతుంటే,"The word 'గా' is an unnecessary addition, making it implausible as a single word."
test_12_191,surya,processed,14,కార్పో నుట్టి శివాల్లు,కార్పొరేట్ శివాల్లు,The sequence 'నుట్టి' is not a valid Telugu word. 'కార్పొరేట్' is a more plausible correction.
test_12_191,surya,processed,16,పాకార్య,పాకార్యం,"'పాకార్య' is not a valid Telugu word. 'పాకార్యం' is a more plausible correction, meaning 'cooking' or 'culinary activity'."
test_12_191,surya,processed,22,ప్రవాయము,ప్రవాహము,'ప్రవాయము' is not a valid Telugu word. 'ప్రవాహము' means 'flow' or 'stream'.
test_12_191,surya,processed,23,పరికరా రామన్,పరికరాలు రామన్,'పరికరా' is not a valid standalone word. 'పరికరాలు' means 'tools' or 'equipment'.
test_12_195,surya,processed,3,కూట్టి వెయండ్,కూటి వెయండి,'కూట్టి' is not a valid standalone word; 'కూటి' is more plausible. 'వెయండ్' is likely a misreading of 'వెయండి'.
test_12_195,surya,processed,8,హై ను పు ను,హైనుపును,Unnecessary spaces in 'హై ను పు ను'; 'హైనుపును' is a more plausible single word.
test_12_195,surya,processed,10,కారని లేక,కారణం లేక,'కారని' is not a valid form; 'కారణం' is a common word meaning 'reason'.
test_12_195,surya,processed,11,స్వాత్రీ దాయకత్వం,స్వాతంత్ర్య దాయకత్వం,'స్వాత్రీ' is not a valid form; 'స్వాతంత్ర్య' is a common prefix meaning 'freedom'.
test_12_195,surya,processed,15,పుత్రు నాడి నుం,పుత్రునాడినుంచి,Unnecessary spaces and incorrect form; 'పుత్రునాడినుంచి' is a more plausible single word.
test_12_195,surya,processed,19,కావి లి,కావాలి,'కావి లి' is not a valid form; 'కావాలి' is a common word meaning 'want' or 'need'.
