example_type,model,comparison,baseline_stage,candidate_stage,image_key,page_key,reference,baseline_hypothesis,candidate_hypothesis,baseline_cer,candidate_cer,cer_delta,baseline_wer,candidate_wer,wer_delta,baseline_exact_match,candidate_exact_match,exact_match_delta,baseline_missing_output,candidate_missing_output,missing_output_delta,baseline_runtime,candidate_runtime,runtime_delta
largest_improvement,surya,raw_to_run_1,raw,run_1,test/12/113/3,test_12_113,అగ్రనేతలను,,అగ్రనేతలను,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,-1.0,25.548675195001124,16.018035799000245,-9.530639396000879
largest_improvement,surya,raw_to_run_1,raw,run_1,test/9/393/9,test_9_393,నిలువుగా,,నీలువుగా,1.0,0.125,-0.875,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,16.938579106998077,11.231720654000128,-5.706858452997949
largest_improvement,surya,raw_to_run_1,raw,run_1,test/12/131/19,test_12_131,బాలికలకు,బౌద్ధకలఘ,బాలికలకు,0.75,0.0,-0.75,1.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,19.186195666999993,10.35341798599984,-8.832777681000152
largest_improvement,surya,raw_to_run_1,raw,run_1,test/9/393/13,test_9_393,వాట్,,వాటి,1.0,0.25,-0.75,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,10.951907906000997,5.977873977999934,-4.974033928001063
largest_improvement,surya,raw_to_run_1,raw,run_1,test/9/393/2,test_9_393,విజయరామారావు,విద్యా సౌకర్యాలు,విజయ రామారావు,0.8333333333333334,0.08333333333333333,-0.75,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.389114393001364,19.014001120000103,-16.37511327300126
largest_improvement,surya,raw_to_run_1,raw,run_1,test/12/125/18,test_12_125,చెప్పుకుంది,,చెన్నుకుంటి,1.0,0.2727272727272727,-0.7272727272727273,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,21.686618997999176,16.933238407989847,-4.753380590009328
largest_improvement,surya,raw_to_run_1,raw,run_1,test/12/113/22,test_12_113,మారుమూల,ప్రామ మాల,మారు మూల,0.8571428571428571,0.14285714285714285,-0.7142857142857142,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.551588733000244,40.14524685000015,18.593658116999904
largest_improvement,surya,raw_to_run_1,raw,run_1,test/12/131/7,test_12_131,ప్రశంసనీయమని,,డ్రూంసనోయమనీ,1.0,0.3333333333333333,-0.6666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,32.89747157599777,19.562685785989743,-13.334785790008027
largest_improvement,surya,raw_to_run_1,raw,run_1,test/12/125/2,test_12_125,మున్ముందు,,మునుగెండు,1.0,0.4444444444444444,-0.5555555555555556,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,20.996909082001366,51.25714908600003,30.26024000399866
largest_improvement,surya,raw_to_run_1,raw,run_1,test/12/165/2,test_12_165,భారతమంతటా,,భారతమంత్రితా,1.0,0.4444444444444444,-0.5555555555555556,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,27.370103796001786,17.347680505990866,-10.02242329001092
largest_regression,surya,raw_to_run_1,raw,run_1,test/9/91/24,test_9_91,వైపున,,విద్యా సౌకర్యాలు,1.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,12.166686284999741,12.186952397999903,0.020266113000161567
largest_regression,surya,raw_to_run_1,raw,run_1,test/12/113/17,test_12_113,అలవాటుపడిన,ా,బ్రిటిష్ యా క్రీడా వ్యవస్థ,0.9,2.4,1.5,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.09140429800027,35.36607990499988,7.274675606999608
