input_kind,page_key,model_a,model_b,model_a_completed_words,model_b_completed_words,model_a_usable_words,model_b_usable_words,model_a_missing_word_rate,model_b_missing_word_rate,expected_words,model_a_text,model_b_text,agreement_score,disagreement_score,flagged_word_regions,human_review,review_reason
processed,test_9_13,surya,tesseract,24,24,13,22,0.4583333333333333,0.08333333333333333,24,బహిరంగ వైనా దూరం లోనిలు మౌర్యాలు చి లికేధలు నర్మా రీతి చెల్‌యా దు ‍ నిర్ణయంలో మనము రాసు కుంటి చెన్నంపు దాదులు మూడో వారం లో కొత్తగిరియుకూ మనో పరిబ్రహ్ం,టా మోతని ఉ ు ట్వాలు వేగ్రగా లో ౭ ర లీరి బూల్సీ వేఆనే లా ల గులు న నిర్దారీం వయా రు ఉీపాంచరీ నిర్వ యంఆ గాల నంబరు న్‌ మేన్‌ గొసు ఖం గాలు వేల్లంస్రదొరు అ మోూటడోఠార౦ర లొ డొదోదెయువొ యేనో శేరి గా డోల్మారోసిండ,0.022792,0.977208,24,true,agreement_below_threshold;word_regions_flagged
processed,test_9_53,surya,tesseract,24,24,18,21,0.25,0.125,24,విజయవాడ స్థానా సి గళ్ళుపడాలి భీష్మరూపంలో ది శ్రో నటదులు ప్రారంభించిన వివాహం గుట్టాను నారంగా పిల్లలారు సుమ్మోలా వారికేటు ముగ్గూరు హాస్పన్ రెండు కు భాగముక్రి లు ‌ ‍ గాయప్తి గుడి లాంటి గర్భ కొరణం ముఖ్యపాత పుట్టు,బీజము నగల దు థడౌల్‌ జ్లొనవము౦ వ్రీరనిబానం బల్లను సారంగా లెడ్నియోరు నుబలా గుడ్డిగా దోరవేడు మేలా మహోర్లు సౌంయుము య్య లు యలొర్బే మ కౌలురైతు అ టం గ గరా అ గోర్ల దౌర్రోస్రం మక్సీపోో మా ఫో సారి,0.289340,0.710660,24,true,agreement_below_threshold;word_regions_flagged
processed,test_9_65,surya,tesseract,26,26,14,23,0.46153846153846156,0.11538461538461539,26,సారిరాళి సాగు వై టి తెనుక్కెంటి కథలుగా తోమిరి దా సంసిం బాద్రు నీటి బలంకాను నంపేర విషయాలు సేవ లకు కొనుగోళ్ళపై చిత్రాలు కొం టాక్సిక్ కొల్లూరి,రోర్లుల్‌ విదర్‌ సాగునటే త్రెమ్మ ంటి పం టలో డు జంతా పాన క్షేగ్రుయిగో ల్‌చ్ట్స్‌ందా శుంఠ చూరు న్‌ గోర్లో ౭౮ ౧ రి హ ివడే ్బందానత్‌ ళోంపేర వెయ అబల లర లర్‌ సెవేలకు తిను గళదై ర సోంగ్రే వీల్షులు కౌంటర్‌ ద్‌,0.023599,0.976401,24,true,agreement_below_threshold;word_regions_flagged
processed,test_9_91,surya,tesseract,26,26,13,24,0.5,0.07692307692307693,26,మౌంట్ విద్యా స్తంభాలు కొం లూ క్రై ను ముందు సమీప పట్టణమైన కర్ణాటక నుండి సమీప పట్టణమైన ఆదిలాబాద్ నుండి ౨౦ కి మీ దూరంలో ఉంది ప్రవేృ పేర్లు లాణ్‌ దుర్జనామమైన దొన్న యా ప్రవీర మరియాన అనుగుణ మ్తేసి పుష్కా కుర్తి ప్రకారం విద్యా సౌకర్యాలు,షూ నొల్డేశిన్తున యి అలర మే తంి లూర్షను షూత గాన లే వఉదడివ్నొ చేనీ వెంక లెదోరింజర డం మశ్పి తాన లన దూ జర౦డి ఎత నాయకుల బజారు నమయే చెసోర డఢౌొగ్సుయాస్రరో సైవయైనా మంచాన అభాసు గులు మగా టునుగువుటిన మైస్రని టేండబట్ట ద్వా వచ్చ్రొస్తా ను,0.022026,0.977974,26,true,agreement_below_threshold;word_regions_flagged
processed,test_9_166,surya,tesseract,25,25,15,20,0.4,0.2,25,మాండ్సం మార్ఛమాలు దండిపోయినాడు విద్యుద రాన్సిగ్రీ మరిగోద్వరిచిక్ హౌయం పోటీ దేవీ స్థానిలో చౌతు హౌ తాలువ కొన్ని నీయ నౌస వర్షపత్రిక సముద్రపు భాంవన గుర్తు కొన్నిరు పచ్చిక దినో బౌద్య పు్,ర్లస్‌న్‌ మాందం టూథ్చ మూల డేండపోొమునాయ ల్‌ ఏర్పడ డాన్‌ రుం యంద టు రల బెట్టీ పొల లా చైయల ల్‌ స్య శ్తె యూరు వోట్‌ నయే త్తు భావన టేర్గింలా గుర్తు ఠస్వారు యడ ఖు,0.267062,0.732938,25,true,agreement_below_threshold;word_regions_flagged
processed,test_9_249,surya,tesseract,24,24,9,19,0.625,0.20833333333333334,24,వేశ్యాలందరూ ‍ ము నాన్మను చరిమిని నీరం కేంద్రం విద్యా లింగా ప్రమాణకిలోదు బాగు వాడుకు,డ్‌యో తల్‌ యే థోఫలంటరూ రసోమలత్మన పేయో రడ మ గౌనును చేంటు సి రంకు వదా ల్‌ గ్రమానికి లోడు లెట్ట్స్‌ బోష్కంటొ లౌరిశ్షన్నా ఇళ తయును జైల బి గడ య౦దో ఇర కౌోనీర్‌ గు వటంటి,0.334694,0.665306,24,true,agreement_below_threshold;word_regions_flagged
processed,test_9_252,surya,tesseract,25,25,13,22,0.48,0.12,25,పంటరోపో తత్త్వవిచ్ఛారిణి ఉత్పహ్నా నిర్మాణ సమాచారం సమీకృతంగా మార్కెటింగు నీరారకు పెరి బ్రౌంయం ‍ పారిశ్రామికోద్యోగ్య బెన్నెస్కో నాగర్ లిమ్సా ప్రయోగావకాహారాలన్ని పంటలను,పంటర్వవ తపఘ్వు యంది ందె ధిత్తమాఃరిరులే సమూాలూరం౦ లీ టల స్మ సమే క్వాం ధథ ఫైండ్‌ నోర్లారథ అ ను సరంతిండుం ల్రపఏక అ సౌలు జారిన పిచ రిన్తే స్మర ౦ లో డియో ావోరొఫ్యాన్న శ్ర శవపాం మేయయలను సెనుతో్‌ నదీ డెంగ వల నో,0.048913,0.951087,25,true,agreement_below_threshold;word_regions_flagged
processed,test_9_393,surya,tesseract,24,24,13,22,0.4583333333333333,0.08333333333333333,24,విజయ రామారావు కాళిష్వరరావు మహా వరిష్టకి స్వాతాయ కర్మ వాటి ‍ ప్రాడోనోని యోలా ‍ ‌ దేవుి నందం ఎవరి లోనే నా ప్రశిల పోటీ,శస్రేటల ను వజయ రామారొంప య్య రొ ఖేచూరరాం్ర సల వే రొరి ర దం యన ఏరిడ్లరిన నోలుయ్రగో లయ దిథ ను రాయ ళర గౌట్‌ లేరా లెల్లారాత గుదనగు యో ల్‌ దేరృ౦గా మానని అ లా ప్రారపనల్‌ గా ఫృంరు టతోను బయో గోండద౦ ఎవరి లొగ్ణ నా గభ్ర్రలుయో ర,0.139394,0.860606,22,true,agreement_below_threshold;word_regions_flagged
processed,test_12_48,surya,tesseract,24,24,9,19,0.625,0.20833333333333334,24,బౌద్ధ సంఘ ‍ నిరాహార దక్షిణు మరికొండలి పాల్లు దంత్రా లాభిను ట్రైవా సంక్ర హ్ పునరాల్పు పారిశ్రామి,నీ య్యా సాం స నా ం లను అ్రస్లేయా గోరాహా ర దొక్షలు అనుమేడీంి రదేంపైగో లేలరోణసామన వా మశికోయేం అథధిితో దీని్వైనా పోల ణేంశ్రో శాండీ భ బతలను ని ర్సీక్షవనో గౌదియాన లో స౦ం క యంచు దయా లడై జహొాలించే,0.232394,0.767606,23,true,agreement_below_threshold;word_regions_flagged
processed,test_12_70,surya,tesseract,25,25,12,19,0.52,0.24,25,మధ్యలు పాట ఉ స్వ స్వ రూపాయ వంగ ముల్లు సంగీతపరంగా ‍ ప్రయత్నం బాలా మంది దేవాత్మ వాలి మాట్ల బి జ్ఞలమ్ మధుర,అడు ఖంధ్గాలో హయ రమని దాగే సరగేల ద్రా హాల గస రూపార్ర గల రత గక నష ని రేంగ యహ ౦ సంగ రం౦గా ర్వ రాజవేజర ౦ మయ నుంది రౌలా యే లది దీనోత్స లాల స ఖండే మధుర,0.403226,0.596774,23,true,agreement_below_threshold;word_regions_flagged
processed,test_12_113,surya,tesseract,25,25,13,21,0.48,0.16,25,మౌరా లు బక్ష్యం చలేదు ప్రతిపాదనకు గెండింటలు పెట్టి మహా పనికి సమాధానము బిలి డా టెవె ని ర టి కవ లోయం మారు మూల పసిల్ గా కాస్పెడా మౌలి,సయథరా తమాడా మీౌరాయి అ గనేతీలను ఆ రేఇ ఇుుఆ ధీం లేదు పీపొదినను రెం డీ౦ంలిలటువపటీ మహా ద వున టనసొతీ నీ నా టో చనా సహో రట మీవహి యాన ్రలివాటుథునీన క్ష్‌గ్సే వన్నీ ంటి కవీ లీయేం భేోవంత్ర న మోరుమూాల ప్రసితీగ చౌనువా,0.059701,0.940299,23,true,agreement_below_threshold;word_regions_flagged
processed,test_12_125,surya,tesseract,23,23,14,18,0.391304347826087,0.21739130434782608,23,మునుగెండు మాట్లా ని డ్లా ౦ కుమార్తె మంచి చేతిక ప్రాం బెకో వాలో ‌ ‌ ‌ కులా సాగా రావ దు చెన్నుకుంటే మార్గాల న్న విశిష్టుల్తా చోరా మదు ఉత్పత్తి,శగరిగీసు ౦ దగ వ్రళ్హింటిన యాట్లానీ డ్ధాం హౌ క్స్ర బ్ర ముంల౦ నం కోవాలో బీబారినుగ్నా౦ డ్‌ బౌన్సు బయ శుక అలా సాగా మన్‌ రు గోటు లం మాను నయా బర హైౌరుగు గోరా ముడు,0.364865,0.635135,21,true,agreement_below_threshold;word_regions_flagged
processed,test_12_131,surya,tesseract,25,25,10,22,0.6,0.12,25,పక్షయ పచ్చలను డ్రూంసనియమని బ్రహంతకుమార్ గ్రామ టందటి బా కోడ్ లైన్ స్వా ౦ ౮ ఝ బాలికలకు హౌర్ బు సిం శ్రీ స్త్రీ కు ని,లెకాం శ్రీ సేయగ లిగా అ నొక ణీ ౮ సన్నము సశ లను ము లన్తా దళ౦సనోయయన అనం తమునూ రీ గిర్‌ సి లిగీటడుయుంగ్రగో శాదీటరిదీగ తారిచేణ్షిను స దర సూరి ఇరా రు ొధిక లమ హై పం లడౌంధి ధయ లఖీశుాగ౦ చనం దట ఫే అనే ణ్ద్వ,0.116129,0.883871,25,true,agreement_below_threshold;word_regions_flagged
processed,test_12_165,surya,tesseract,20,20,12,14,0.4,0.3,20,ప్రమాణమౌనిదు ‌ త్రిప్రామ సందాంగా భక్తు తలుపబాడు కయ్యాన్క సింహాసన వేయలతో న పువి కు ంటూ ఎండుట నమోగే లో ఎమిడి ప చుట్టుపొ్ ‍ కనీరి చిహ్నాలు పోషణ బోస్,లియా శయన దు ఆ దొనుగురాంగో భట థీయిసయా దీ సం ర గంత కోడు కయ్య్న్గ్య్రాా టయనే ట్వ్న ము సింహోసనీయుతో నేథ్ర ముం ఎఏందుటనమహా ర రీ హూ వసూ భు ఆటంటో త్రీష,0.333333,0.666667,20,true,agreement_below_threshold;word_regions_flagged
processed,test_12_191,surya,tesseract,26,26,10,20,0.6153846153846154,0.23076923076923078,26,బాధల్లో తగిలిను నిజనిర్దౌరణ వెళుతుంటే గా స్వంతి కార్పో నుట్టి శివాల్లు పాకార్య సంధనకు ప్రవాయము పరికరా రామన్,గా లగి రము నిజన రర బేలీతుం గగ ణా ౦ అణ్వాాన్‌ గ్రాము ట్‌ నేవ కిరిసున్మూ శుబ్న శోటమ నము గుర్‌్సను ౧౦ న కాగ యులుల టీటం నక్ష తొలు ఆనంటెనో బవొఠుసు సలటరామున్‌ గా బా పనితనం,0.191176,0.808824,26,true,agreement_below_threshold;word_regions_flagged
