image_key,page_key,model,input_kind,reference,hypothesis,cer,exact_match,categories,error_category_count,evidence_source,category,error,correction,reason
test/9/13/1,test_9_13,surya,raw,బొట్టుపైనా,బాహు పైనా,0.5,False,diacritic_or_vowel_sign_error;virama_or_conjunct_error;word_boundary_split_or_join,3,deterministic_alignment,word_boundary_split_or_join,,,Unicode/edit alignment rule
test/9/13/1,test_9_13,surya,raw,బొట్టుపైనా,బాహు పైనా,0.5,False,diacritic_or_vowel_sign_error;virama_or_conjunct_error;word_boundary_split_or_join,3,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/1,test_9_13,surya,raw,బొట్టుపైనా,బాహు పైనా,0.5,False,diacritic_or_vowel_sign_error;virama_or_conjunct_error;word_boundary_split_or_join,3,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/13/2,test_9_13,surya,raw,మూలిగే,మూలకేశి,0.6666666666666666,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion,3,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/13/2,test_9_13,surya,raw,మూలిగే,మూలకేశి,0.6666666666666666,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion,3,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/2,test_9_13,surya,raw,మూలిగే,మూలకేశి,0.6666666666666666,False,base_character_substitution;diacritic_or_vowel_sign_error;insertion,3,deterministic_alignment,insertion,,,Unicode/edit alignment rule
test/9/13/3,test_9_13,surya,raw,ప్రభుత్వాలు,దూరం లోనిలు,0.7272727272727273,False,base_character_substitution;diacritic_or_vowel_sign_error;virama_or_conjunct_error;word_boundary_split_or_join,4,deterministic_alignment,word_boundary_split_or_join,,,Unicode/edit alignment rule
test/9/13/3,test_9_13,surya,raw,ప్రభుత్వాలు,దూరం లోనిలు,0.7272727272727273,False,base_character_substitution;diacritic_or_vowel_sign_error;virama_or_conjunct_error;word_boundary_split_or_join,4,deterministic_alignment,diacritic_or_vowel_sign_error,,,Unicode/edit alignment rule
test/9/13/3,test_9_13,surya,raw,ప్రభుత్వాలు,దూరం లోనిలు,0.7272727272727273,False,base_character_substitution;diacritic_or_vowel_sign_error;virama_or_conjunct_error;word_boundary_split_or_join,4,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
test/9/13/3,test_9_13,surya,raw,ప్రభుత్వాలు,దూరం లోనిలు,0.7272727272727273,False,base_character_substitution;diacritic_or_vowel_sign_error;virama_or_conjunct_error;word_boundary_split_or_join,4,deterministic_alignment,base_character_substitution,,,Unicode/edit alignment rule
test/9/13/4,test_9_13,surya,raw,పేర్కొనాలి,మరాగ్రాత,0.8,False,base_character_substitution;deletion;diacritic_or_vowel_sign_error;virama_or_conjunct_error,4,deterministic_alignment,virama_or_conjunct_error,,,Unicode/edit alignment rule
