image_key,page_key,split,writer_id,page_id,image_index,model,input_kind,reference,hypothesis,cer,wer,exact_match,missing_output,status,elapsed_seconds,source_image_path,input_image_path
test/9/13/1,test_9_13,test,9,13,1,surya,raw,బొట్టుపైనా,బాహు పైనా,0.5,2.0,False,False,ok,25.588245275008376,ground_truth/sample_set/test/9/13/1.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/1.jpg
test/9/13/2,test_9_13,test,9,13,2,surya,raw,మూలిగే,మూలకేశి,0.6666666666666666,1.0,False,False,ok,15.62069481999788,ground_truth/sample_set/test/9/13/2.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/2.jpg
test/9/13/3,test_9_13,test,9,13,3,surya,raw,ప్రభుత్వాలు,దూరం లోనిలు,0.7272727272727273,2.0,False,False,ok,23.126466233996325,ground_truth/sample_set/test/9/13/3.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/3.jpg
test/9/13/4,test_9_13,test,9,13,4,surya,raw,పేర్కొనాలి,మరాగ్రాత,0.8,1.0,False,False,ok,19.643753100011963,ground_truth/sample_set/test/9/13/4.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/4.jpg
test/9/13/5,test_9_13,test,9,13,5,surya,raw,తరలించాల్సి,,1.0,1.0,False,True,empty_output,25.843130148990895,ground_truth/sample_set/test/9/13/5.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/5.jpg
test/9/13/6,test_9_13,test,9,13,6,surya,raw,చలనచిత్ర,,1.0,1.0,False,True,empty_output,19.970697507000295,ground_truth/sample_set/test/9/13/6.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/6.jpg
test/9/13/7,test_9_13,test,9,13,7,surya,raw,చిత్రకథలు,చే లికేధేలు,0.7777777777777778,2.0,False,False,ok,21.04481654400297,ground_truth/sample_set/test/9/13/7.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/7.jpg
test/9/13/8,test_9_13,test,9,13,8,surya,raw,సాక్ష్యం,,1.0,1.0,False,True,empty_output,14.011350104003213,ground_truth/sample_set/test/9/13/8.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/8.jpg
test/9/13/9,test_9_13,test,9,13,9,surya,raw,నిర్ధారించేవారు,నర్మారం చౌదారు,0.4,2.0,False,False,ok,27.344188139002654,ground_truth/sample_set/test/9/13/9.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/9.jpg
test/9/13/10,test_9_13,test,9,13,10,surya,raw,ఆగమ,,1.0,1.0,False,True,empty_output,13.156327520991908,ground_truth/sample_set/test/9/13/10.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/10.jpg
test/9/13/11,test_9_13,test,9,13,11,surya,raw,ఊహించని,‍,1.0,1.0,False,False,ok,20.28095465200022,ground_truth/sample_set/test/9/13/11.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/11.jpg
test/9/13/12,test_9_13,test,9,13,12,surya,raw,నిర్వహించి,నర్మా హారియ్,0.9,2.0,False,False,ok,21.74440683600551,ground_truth/sample_set/test/9/13/12.jpg,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/12.jpg
