page_key,split,writer_id,page_id,ocr_model,input_kind,score,reason,error_examples_json,missing_or_error_words,missing_word_rate,rejected_error_example_count,input_tokens,output_tokens,total_tokens
test_9_13,test,9,13,surya,processed,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.","[""బహిరంగ వైనా"", ""దూరం లోనిలు"", ""చి లికేధలు"", ""నర్మా రీతి చెల్‌యా దు"", ""చెన్నంపు దాదులు"", ""మనో పరిబ్రహ్ం""]",11,0.4583333333333333,0,582,86,668
test_9_53,test,9,53,surya,processed,2,A minority of the OCR outputs are plausible Telugu words. Many regions are missing or contain fragmented and orthographically implausible outputs.,"[""స్థానా"", ""సి గళ్ళుపడాలి"", ""శ్రో నటదులు"", ""హాస్పన్ రెండు కు"", ""భాగముక్రి లు"", ""గాయప్తి"", ""గర్భ కొరణం"", ""ముఖ్యపాత పుట్టు""]",6,0.25,0,575,94,669
test_9_65,test,9,65,surya,processed,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.","[""సాగు వై టి"", ""తోమిరి దా"", ""సంసిం బాద్రు"", ""నీటి బలంకాను"", ""కొం టాక్సిక్""]",12,0.46153846153846156,0,580,68,648
test_9_91,test,9,91,surya,processed,2,"A minority of the regions are plausible Telugu words or phrases, while most are missing or contain errors.","[""కొం లూ క్రై ను"", ""ప్రవేృ"", ""పేర్లు లాణ్‌"", ""దొన్న యా ప్రవీర"", ""అనుగుణ మ్తేసి""]",13,0.5,0,616,70,686
test_9_166,test,9,166,surya,processed,2,"A minority of the regions are plausible Telugu words, while most are missing or contain errors.","[""మరిగోద్వరిచిక్"", ""విద్యుద రాన్సిగ్రీ"", ""చౌతు హౌ"", ""కొన్ని నీయ నౌస"", ""బౌద్య పు్""]",10,0.4,0,588,70,658
test_9_249,test,9,249,surya,processed,1,Almost all regions are missing or contain severe OCR failures. Only a few regions are plausible Telugu words.,"[""ము"", ""నాన్మను"", ""చరిమిని"", ""విద్యా లింగా"", ""ప్రమాణకిలోదు"", ""బాగు వాడుకు""]",15,0.625,0,559,67,626
test_9_252,test,9,252,surya,processed,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.","[""పంటరోపో"", ""ఉత్పహ్నా నిర్మాణ"", ""పెరి బ్రౌంయం"", ""పారిశ్రామికోద్యోగ్య"", ""బెన్నెస్కో నాగర్ లిమ్సా"", ""ప్రయోగావకాహారాలన్ని""]",12,0.48,0,589,88,677
test_9_393,test,9,393,surya,processed,2,"A minority of the regions are plausible Telugu words or names, but most are missing or contain errors.","[""స్వాతాయ కర్మ"", ""ప్రాడోనోని యోలా"", ""దేవుి నందం"", ""ఎవరి లోనే నా"", ""ప్రశిల పోటీ""]",11,0.4583333333333333,0,559,70,629
test_12_48,test,12,48,surya,processed,2,"A minority of the regions are plausible Telugu words, while most are missing or contain errors.","[""సంక్ర హ్"", ""లాభిను ట్రైవా"", ""పాల్లు దంత్రా""]",15,0.625,0,565,51,616
test_12_70,test,12,70,surya,processed,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.","[""పాట ఉ"", ""స్వ స్వ రూపాయ"", ""వంగ ముల్లు"", ""మాట్ల"", ""బి జ్ఞలమ్""]",13,0.52,0,555,57,612
test_12_113,test,12,113,surya,processed,2,A minority of the regions are plausible Telugu words. Most regions are missing or contain fragmented and orthographically implausible outputs.,"[""బక్ష్యం చలేదు"", ""గెండింటలు పెట్టి"", ""బిలి డా టెవె"", ""ని ర టి"", ""కవ లోయం"", ""కాస్పెడా""]",12,0.48,0,576,77,653
test_12_125,test,12,125,surya,processed,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.","[""మాట్లా ని డ్లా ౦"", ""ప్రాం బెకో వాలో"", ""కులా సాగా"", ""రావ దు"", ""మార్గాల న్న"", ""విశిష్టుల్తా"", ""చోరా మదు""]",9,0.391304347826087,0,559,83,642
test_12_131,test,12,131,surya,processed,2,"A minority of the regions are plausible Telugu words, while most are missing or contain errors.","[""పక్షయ"", ""డ్రూంసనియమని"", ""గ్రామ టందటి"", ""బా కోడ్ లైన్"", ""స్వా ౦ ౮ ఝ"", ""హౌర్ బు సిం"", ""శ్రీ స్త్రీ కు ని""]",15,0.6,0,582,86,668
test_12_165,test,12,165,surya,processed,2,A minority of the regions are plausible Telugu words. Most regions are missing or contain fragmented and orthographically implausible output.,"[""త్రిప్రామ సందాంగా"", ""భక్తు తలుపబాడు"", ""కయ్యాన్క"", ""న పువి కు ంటూ"", ""ఎండుట నమోగే లో"", ""ఎమిడి ప చుట్టుపొ్""]",8,0.4,0,560,88,648
test_12_191,test,12,191,surya,processed,2,A minority of the regions are plausible Telugu words. Most regions are missing or contain errors.,"[""తగిలిను"", ""నిజనిర్దౌరణ"", ""వెళుతుంటే గా"", ""స్వంతి"", ""కార్పో నుట్టి శివాల్లు"", ""పాకార్య"", ""సంధనకు"", ""ప్రవాయము"", ""పరికరా రామన్""]",16,0.6153846153846154,0,582,92,674
test_12_195,test,12,195,surya,processed,2,"A minority of the regions are plausible Telugu words. Most regions are missing, fragmented, or contain orthographic errors.","[""కూట్టి వెయండ్"", ""హై ను పు ను"", ""స్వాత్రీ దాయకత్వం"", ""పుత్రు నాడి నుం"", ""మవూరిటి"", ""కావి లి"", ""విశ్వ దక్షుం దై"", ""బంకేత్రవ్రకు""]",7,0.2916666666666667,0,589,100,689
test_13_2,test,13,2,surya,processed,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.","[""ర్వ ధీరాకి"", ""గోగు పుల్లల్లి"", ""విశేషాల్యం కు"", ""బా లేందుకు"", ""ఎంఎన్ కోడ్"", ""ప్రభుత్వంలు"", ""వర్ణనున""]",15,0.5769230769230769,0,582,76,658
test_13_7,test,13,7,surya,processed,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.","[""స్వీయం ప్రాంతాల రాధాకులు"", ""కామరిప్త లే"", ""మాట ప్రవృద్ధి"", ""హారి హౌయక వేత్తలను""]",13,0.5909090909090909,0,553,66,619
test_13_9,test,13,9,surya,processed,2,"A minority of the regions are plausible Telugu words, but most are missing or garbled.","[""ఏ తే రాజు యంది"", ""ఎన్ డి కౌంటర్ ఎబ్జెట్"", ""కలగ పేసుకుంటే"", ""గుపరిపాలన""]",12,0.5217391304347826,0,567,66,633
test_13_12,test,13,12,surya,processed,2,"A minority of the regions are plausible Telugu words, but most are missing or garbled.","[""‍""]",15,0.6521739130434783,1,547,38,585
test_13_13,test,13,13,surya,processed,2,"Only a minority of the regions are plausible Telugu words, with most being missing or garbled.",[],20,0.8333333333333334,1,557,37,594
test_13_23,test,13,23,surya,processed,2,A minority of the regions are plausible Telugu words. Most regions are missing or contain fragmented and orthographically implausible outputs.,"[""తన్ని ఉపరిహ్"", ""బీ సు కోవ డమ్"", ""మెలిగ పెట్టి గారి"", ""హౌస్టేషన్""]",12,0.5217391304347826,0,567,66,633
test_13_24,test,13,24,surya,processed,2,"A minority of the regions are plausible Telugu words, while most are missing or garbled.","[""బాతూ క్రీస్తు శాస్త్రాలే"", ""కూడ యౌరిట"", ""శిష్యు వెట్టి"", ""వినియోగంటారా""]",15,0.6521739130434783,0,562,64,626
test_13_32,test,13,32,surya,processed,2,A minority of the regions are plausible Telugu words or fragments. Most entries are missing or contain significant errors.,"[""లోని వర్తా డు"", ""సీహాసంప్"", ""కల పు లింద"", ""సంవత్రారాన్ని"", ""వరిరచిలా"", ""విహం బాలు""]",14,0.5384615384615384,0,572,75,647
val_4_69,val,4,69,surya,processed,2,A minority of the regions are plausible Telugu words. Most regions are missing or contain orthographic errors.,"[""పారలున్నెయినీ"", ""కొర భినేయనీ"", ""రూయినిక"", ""బాటానన్న టానా"", ""చేసింటివయ్య"", ""హారాడు"", ""అటాయిక్""]",13,0.4642857142857143,0,593,77,670
val_4_149,val,4,149,surya,processed,2,A minority of the regions are plausible Telugu words. Many regions are missing or contain fragmented and orthographically implausible outputs.,"[""మెనుక ట్రానాల్స్"", ""ముస్తో రింవింపుగా"", ""స న్మి ధైరాద్"", ""హ సై కా"", ""పెరిగాంటు"", ""కవరా పండు"", ""సాఫీల్చకులు"", ""మాస్కోడ్""]",9,0.375,0,572,93,665
val_4_155,val,4,155,surya,processed,2,A minority of the regions are plausible Telugu words. Most entries are either missing or contain significant errors.,"[""ఉదయక్రుడి రి టుంన్న ట్టు"", ""వెంక టూవ్"", ""హేందు వ్యాస్ను""]",10,0.4166666666666667,0,569,65,634
val_4_189,val,4,189,surya,processed,2,"A minority of the regions are plausible Telugu words. Most regions are missing, fragmented, or contain orthographic errors.","[""రాట్టు ప్రాక పోవడమ్మ"", ""మంచిర మే"", ""మినరలాగి"", ""పాఠవిశ్రం ఆది"", ""సమావేశమైనద్వటికికి"", ""ప్రకాశవ ట్రాక్రాన్"", ""షో రూ క్సు"", ""బెంయాన్ల రత్న""]",7,0.3333333333333333,0,555,102,657
val_4_206,val,4,206,surya,processed,2,"A minority of the regions are plausible Telugu words, while most are missing or contain errors. Several outputs are marked as [OCR_MISSING], and others are fragmented or orthographically implausible.","[""నోరా డి నా లు"", ""దేవి చరిత్రాన్"", ""‍ రాజ కు"", ""దూ పి లు"", ""కన్నె దం మీ నుండు"", ""సావ దౌవంగా"", ""ర్యావ స్మేలను"", ""కు ముద్రి లాడులు"", ""దైరి ట్రాస్ నూరి"", ""దహంబాల్""]",9,0.36,0,593,126,719
val_4_219,val,4,219,surya,processed,3,"The OCR output contains a mix of plausible Telugu words and several missing or fragmented outputs. While some words are recognizable, a significant number of regions are marked as [OCR_MISSING], indicating substantial errors.","[""ద్రుడి ఒం ఒం గా"", ""నిర్మూ ప్రి బా నీ"", ""సార్వ బౌ మతాన్ని"", ""పల్లెల బహుకుంటూ""]",7,0.3181818181818182,0,559,89,648
val_4_233,val,4,233,surya,processed,2,A minority of the regions are plausible Telugu words. Many regions are missing or contain fragmented and orthographically implausible outputs.,"[""‍ శ్రీ ర్గీ రి నుంచి"", ""హే ల్లా లి స్తు న్మాటు"", ""రా జిల్లా మళ్ళిం"", ""స కూల"", ""ప్రజ్విత్తోంతి పటి నట్టు"", ""ూం""]",6,0.2727272727272727,0,558,89,647
val_4_238,val,4,238,surya,processed,2,A minority of the regions are plausible Telugu words. There are several OCR failures and fragmented outputs.,"[""సురి పూ ద్వే ంగా"", ""గా హౌకు"", ""దూర మార్పు తెుంద నేటి"", ""ప్రాంత పుట్టడ"", ""త పో యోగాల"", ""విజ్ఞేత్తర్‌"", ""దుశా బ్హి లోని""]",6,0.25,0,584,89,673
val_10_53,val,10,53,surya,processed,1,"Almost all regions are missing or contain severe OCR failures, with only a few recognizable words.","[""క్షణ ం"", ""మా ౬౬"", ""‍ ‍""]",19,0.76,0,558,46,604
val_10_89,val,10,89,surya,processed,2,"A minority of the regions are plausible Telugu words, but most are missing or garbled.","[""‍"", ""‌""]",15,0.6521739130434783,1,547,40,587
val_10_108,val,10,108,surya,processed,2,"A minority of the regions are plausible Telugu words, but most are missing or garbled.","[""మొడ్కంలకగలదు"", ""ఎర్రి శర్మాలు"", ""వౌడకూరుడు"", ""పర్యాంటున్నాడు"", ""బాగుండేటికలా""]",13,0.5909090909090909,0,552,69,621
val_10_179,val,10,179,surya,processed,2,"A minority of the regions are plausible Telugu words, with most regions missing or garbled.",[],18,0.6923076923076923,1,566,36,602
val_10_350,val,10,350,surya,processed,2,"A minority of the regions are plausible Telugu words, but most are missing or contain errors.","[""వే బూనే లే నాని"", ""‍ ‍""]",13,0.5416666666666666,0,557,43,600
val_10_386,val,10,386,surya,processed,2,"A minority of the regions are plausible Telugu words. Most regions are missing, fragmented, or contain orthographic errors.","[""రాహ లెగ్గిగికో"", ""డో ౮ యం వున్నా"", ""అన్నా రీలకు"", ""వ్రౌరసుడులయిరారు"", ""మి తీపకొల్లెపైన"", ""బ్రిడ్జి సేక్షిక""]",10,0.4166666666666667,0,575,92,667
val_10_469,val,10,469,surya,processed,2,A minority of the regions are plausible Telugu words. Most regions are missing or contain errors.,"[""ప్రశ్నిపెయినిన్నట్లు"", ""మంతోమిశ్రదేవేలు"", ""ఎిపెమెంటు""]",14,0.5833333333333334,0,561,57,618
val_10_480,val,10,480,surya,processed,2,A minority of the regions are plausible Telugu words. Most entries are either missing or contain errors that make them implausible as isolated words.,"[""సాధ్యపెంగుల"", ""బేగుకుంటు"", ""గుర్తులేని ాయి"", ""ఎన్నాడూపంగు ఆఫ్లం""]",13,0.5416666666666666,0,570,75,645
