page_key,split,writer_id,page_id,ocr_model,input_kind,score,reason,error_examples_json,missing_or_error_words,missing_word_rate,rejected_error_example_count,input_tokens,output_tokens,total_tokens
test_9_13,test,9,13,tesseract,processed,2,"A minority of the OCR outputs are plausible Telugu words. Most regions contain fragmented or orthographically implausible outputs, with several missing regions.","[""ఉ ు ట్వాలు"", ""౭ ర లీరి బూల్సీ"", ""వేఆనే లా"", ""ల గులు"", ""నిర్దారీం వయా రు"", ""ఉీపాంచరీ"", ""నిర్వ యంఆ"", ""గాల"", ""వేల్లంస్రదొరు అ"", ""మోూటడోఠార౦ర లొ"", ""డొదోదెయువొ"", ""యేనో శేరి గా"", ""డోల్మారోసిండ""]",2,0.08333333333333333,0,587,146,733
test_9_53,test,9,53,tesseract,processed,2,"A minority of the regions are plausible Telugu words. Most regions contain errors, are fragmented, or are missing.","[""నగల దు థడౌల్‌"", ""జ్లొనవము౦"", ""వ్రీరనిబానం"", ""లెడ్నియోరు"", ""మహోర్లు సౌంయుము"", ""య్య లు"", ""యలొర్బే"", ""కౌలురైతు అ"", ""గోర్ల దౌర్రోస్రం"", ""మక్సీపోో మా"", ""ఫో సారి""]",3,0.125,0,582,123,705
test_9_65,test,9,65,tesseract,processed,2,"A minority of the regions are plausible Telugu words. Most regions contain errors, are fragmented, or are missing.","[""రోర్లుల్‌"", ""త్రెమ్మ ంటి"", ""పం టలో డు జంతా"", ""క్షేగ్రుయిగో"", ""ల్‌చ్ట్స్‌ందా"", ""శుంఠ చూరు"", ""గోర్లో ౭౮"", ""౧ రి"", ""హ ివడే"", ""్బందానత్‌"", ""ళోంపేర"", ""లర లర్‌"", ""ర సోంగ్రే"", ""వీల్షులు""]",3,0.11538461538461539,1,608,138,746
test_9_91,test,9,91,tesseract,processed,2,"A minority of the OCR outputs are plausible Telugu words. Most regions contain errors, are fragmented, or are orthographically implausible.","[""నొల్డేశిన్తున యి"", ""తంి లూర్షను"", ""వఉదడివ్నొ"", ""లెదోరింజర డం"", ""మశ్పి తాన"", ""డఢౌొగ్సుయాస్రరో"", ""టేండబట్ట ద్వా"", ""వచ్చ్రొస్తా ను""]",2,0.07692307692307693,0,602,113,715
test_9_166,test,9,166,tesseract,processed,2,"A minority of the regions are plausible Telugu words. Most entries are fragmented, garbled, or missing, with several OCR failures.","[""టూథ్చ మూల"", ""డేండపోొమునాయ"", ""యంద టు"", ""బెట్టీ పొల లా"", ""చైయల"", ""గుర్తు ఠస్వారు""]",5,0.2,3,575,100,675
test_9_249,test,9,249,tesseract,processed,2,A minority of the regions are plausible Telugu words. Many regions are missing or contain orthographic errors.,"[""డ్‌యో తల్‌"", ""యే థోఫలంటరూ"", ""రసోమలత్మన"", ""పేయో రడ"", ""మ"", ""చేంటు సి"", ""లెట్ట్స్‌"", ""బోష్కంటొ"", ""లౌరిశ్షన్నా"", ""ఇళ తయును"", ""జైల బి"", ""గడ య౦దో"", ""ఇర కౌోనీర్‌"", ""గు"", ""వటంటి""]",5,0.20833333333333334,0,581,127,708
test_9_252,test,9,252,tesseract,processed,2,"A minority of the OCR outputs are plausible Telugu words. Most regions are fragmented, garbled, or contain non-Telugu characters.","[""పంటర్వవ"", ""తపఘ్వు యంది"", ""ధిత్తమాఃరిరులే"", ""సమూాలూరం౦"", ""లీ టల స్మ"", ""సమే క్వాం ధథ"", ""నోర్లారథ"", ""అ ను సరంతిండుం"", ""ల్రపఏక అ సౌలు"", ""రిన్తే స్మర ౦ లో"", ""డియో ావోరొఫ్యాన్న"", ""శవపాం"", ""సెనుతో్‌"", ""డెంగ వల""]",3,0.12,0,602,155,757
test_9_393,test,9,393,tesseract,processed,2,"A minority of the OCR outputs are plausible Telugu words. Most regions are fragmented, garbled, or contain errors, with two instances of [OCR_MISSING].","[""శస్రేటల ను"", ""వజయ రామారొంప"", ""రొ ఖేచూరరాం్ర"", ""సల వే రొరి ర దం"", ""నోలుయ్రగో"", ""లయ దిథ"", ""ను రాయ ళర"", ""లెల్లారాత"", ""గుదనగు యో ల్‌"", ""దేరృ౦గా"", ""ఫృంరు టతోను"", ""బయో గోండద౦"", ""ఎవరి లొగ్ణ నా"", ""గభ్ర్రలుయో ర""]",2,0.08333333333333333,0,602,165,767
test_12_48,test,12,48,tesseract,processed,2,"A minority of the OCR outputs are plausible Telugu words. Most regions are fragmented, garbled, or missing, with several outputs containing spaces or unusual combinations that are not recognizable as valid Telugu words.","[""నీ య్యా"", ""సాం స నా ం"", ""అ్రస్లేయా"", ""గోరాహా ర దొక్షలు"", ""అనుమేడీంి రదేంపైగో"", ""లేలరోణసామన"", ""మశికోయేం"", ""అథధిితో"", ""దయా లడై"", ""జహొాలించే""]",5,0.20833333333333334,0,593,129,722
test_12_70,test,12,70,tesseract,processed,2,"A minority of the regions are plausible Telugu words. Most regions are missing, fragmented, or contain orthographic errors.","[""అడు ఖంధ్గాలో"", ""సరగేల ద్రా"", ""గస రూపార్ర"", ""రత గక నష ని"", ""రేంగ యహ ౦"", ""సంగ రం౦గా"", ""ర్వ"", ""రాజవేజర ౦"", ""రౌలా యే లది"", ""దీనోత్స లాల""]",6,0.24,0,570,107,677
test_12_113,test,12,113,tesseract,processed,2,"A minority of the regions are plausible Telugu words. Most outputs are fragmented, garbled, or missing, with several OCR failures.","[""సయథరా తమాడా"", ""మీౌరాయి"", ""ఆ రేఇ ఇుుఆ"", ""పీపొదినను"", ""రెం డీ౦ంలిలటువపటీ"", ""టనసొతీ నీ"", ""మీవహి యాన"", ""్రలివాటుథునీన"", ""క్ష్‌గ్సే"", ""భేోవంత్ర న"", ""మోరుమూాల"", ""చౌనువా""]",4,0.16,0,609,134,743
test_12_125,test,12,125,tesseract,processed,2,"A minority of the regions are plausible Telugu words or recognizable variants. Most regions are missing, fragmented, or contain orthographic errors.","[""శగరిగీసు ౦ దగ"", ""వ్రళ్హింటిన"", ""యాట్లానీ డ్ధాం"", ""హౌ క్స్ర బ్ర"", ""బీబారినుగ్నా౦"", ""బయ శుక"", ""బర హైౌరుగు""]",5,0.21739130434782608,0,573,97,670
test_12_131,test,12,131,tesseract,processed,2,"A minority of the OCR outputs are plausible Telugu words. Most regions are fragmented, garbled, or contain non-Telugu characters.","[""లెకాం శ్రీ"", ""సేయగ లిగా అ"", ""నొక ణీ ౮"", ""సశ లను"", ""ము లన్తా"", ""దళ౦సనోయయన"", ""అనం తమునూ రీ"", ""గిర్‌"", ""లిగీటడుయుంగ్రగో"", ""శాదీటరిదీగ"", ""తారిచేణ్షిను"", ""స దర"", ""సూరి ఇరా రు"", ""ొధిక లమ"", ""హై పం"", ""లడౌంధి ధయ"", ""లఖీశుాగ౦"", ""చనం దట"", ""ఫే అనే"", ""ణ్ద్వ""]",3,0.12,0,606,182,788
test_12_165,test,12,165,tesseract,processed,2,A minority of the regions are plausible Telugu words. Most regions are either missing or contain fragmented and orthographically implausible outputs.,"[""లియా శయన దు"", ""ఆ దొనుగురాంగో"", ""భట థీయిసయా దీ"", ""సం ర గంత"", ""కయ్య్న్గ్య్రాా"", ""టయనే ట్వ్న ము"", ""ఎఏందుటనమహా ర"", ""రీ హూ"", ""వసూ భు""]",6,0.3,0,557,107,664
test_12_191,test,12,191,tesseract,processed,2,"A minority of the regions are plausible Telugu words. Most regions are either missing, fragmented, or contain orthographic errors.","[""లగి రము"", ""నిజన రర"", ""బేలీతుం గగ"", ""ణా ౦"", ""అణ్వాాన్‌"", ""గ్రాము ట్‌"", ""కిరిసున్మూ శుబ్న"", ""శోటమ"", ""౧౦ న"", ""కాగ యులుల టీటం"", ""నక్ష తొలు"", ""ఆనంటెనో"", ""బవొఠుసు"", ""సలటరామున్‌"", ""గా బా""]",6,0.23076923076923078,1,588,141,729
test_12_195,test,12,195,tesseract,processed,2,"A minority of the OCR outputs are plausible Telugu words or fragments. Most regions are missing, fragmented, or contain orthographic errors.","[""ఒలక ను న్న"", ""కూలీ దౌయం గ్రీ"", ""డీయోపు డ్రా"", ""జు మీఖను"", ""సన దాయ క్ష"", ""బేటీ గలక్చు"", ""గుశ నతు నాడ దేం"", ""దీరాతో ఇరనత్ర"", ""య వఏవబభారతీ"", ""గయనీస్తారు"", ""గనోపొటా రేనేవాడు"", ""గ సిటీనో""]",7,0.2916666666666667,0,594,139,733
test_13_2,test,13,2,tesseract,processed,1,"Almost all regions are missing or contain fragmented and orthographically implausible outputs. Only a few regions are partially recognizable, but they are not complete words.","[""నరో ధీం"", ""బోలోంనుర"", ""ర్‌"", ""రా టన"", ""బం క""]",18,0.6923076923076923,0,567,68,635
test_13_7,test,13,7,tesseract,processed,1,"Almost all regions are missing or contain severe OCR failures, with only a few recognizable words.","[""కామ్రీలమే లో"", ""నూటా చేర మడు"", ""సారస ద"", ""రు ఢ్రం"", ""యే డ్ముకా"", ""ుండబ్‌రా""]",14,0.6363636363636364,0,550,68,618
