page_key,ocr_model,input_kind,region_index,error,correction,reason
test_9_13,surya,raw,3,దూరం లోనిలు,దూరంలో నిలు,The space and separation suggest a split in the word 'దూరంలో' which is more plausible.
test_9_13,surya,raw,4,మరాగ్రాత,మరాగ్రహ,"'మరాగ్రహ' is a more plausible word form, possibly a name or term."
test_9_13,surya,raw,7,చే లికేధేలు,చెలికత్తె,"The separation and unusual sequence suggest 'చెలికత్తె', a more plausible word."
test_9_13,surya,raw,9,నర్మారం చౌదారు,నర్మారాం చౌదరి,"'చౌదారు' is likely a misreading of 'చౌదరి', a common surname."
test_9_13,surya,raw,12,నర్మా హారియ్,నర్మాహారిని,"'హారియ్' is likely a misreading of 'హారిని', a more plausible form."
test_9_13,surya,raw,21,మూడోవారం లాో,మూడో వారంలో,"The separation and sequence suggest 'మూడో వారంలో', a more plausible phrase."
test_9_53,surya,raw,4,శ్రీ నవదులు,శ్రీ నవద్వీపులు,'నవదులు' is not a valid Telugu word. 'నవద్వీపులు' is a more plausible correction.
test_9_53,surya,raw,10,హారికేదు,హారికేడు,'హారికేదు' is not a valid Telugu word. 'హారికేడు' is a more plausible correction.
test_9_53,surya,raw,12,హార్సు నెందుకు,హార్స్వ నెందుకు,'హార్సు' is not a valid Telugu word. 'హార్స్వ' is a more plausible correction.
test_9_53,surya,raw,22,గర్వ కొరణు,గర్వకోణు,'గర్వ కొరణు' is not a valid Telugu word. 'గర్వకోణు' is a more plausible correction.
test_9_65,surya,raw,4,తమక్రింది,తమకింద,"The word 'తమక్రింది' is not a valid Telugu word. 'తమకింద' is a plausible correction, meaning 'below them'."
test_9_65,surya,raw,5,విం టిలా క్షీణ బెంలా,వింతిలాక్షీణబెంలా,The spaces in 'విం టిలా క్షీణ బెంలా' suggest incorrect segmentation. 'వింతిలాక్షీణబెంలా' is a more plausible compound.
test_9_65,surya,raw,10,మరియు చారిత్రు,మరియు చారిత్రం,'చారిత్రు' is not a valid form. 'చారిత్రం' is the correct form meaning 'history'.
test_9_65,surya,raw,17,నందేర,నాందేడ్,"'నందేర' is likely a misreading of 'నాందేడ్', a known place name."
test_9_65,surya,raw,24,కొంటుపైన్,కొంటుపైన,'కొంటుపైన్' is not a valid form. 'కొంటుపైన' is a plausible correction meaning 'on the purchase'.
test_9_91,surya,raw,4,కొంటూ ప్రేమ,కొంటూప్రేమ,Unlikely space within a compound word; 'కొంటూ' and 'ప్రేమ' should be combined.
test_9_91,surya,raw,9,వేని మంచి రక,వేణి మంచి రక,Unlikely space within a name; 'వేణి' is a common name.
test_9_91,surya,raw,11,పుట్టి లాగే,పుట్టిలాగే,Unlikely space within a compound word; 'పుట్టి' and 'లాగే' should be combined.
test_9_91,surya,raw,14,దేవీ నామమేల,దేవీనామమేల,Unlikely space within a compound word; 'దేవీ' and 'నామమేల' should be combined.
test_9_91,surya,raw,17,దొన్న మాస్టర్‌,దొన్నమాస్టర్‌,Unlikely space within a name; 'దొన్న' and 'మాస్టర్‌' should be combined.
test_9_91,surya,raw,23,గుడి మైన,గుడిమైన,Unlikely space within a compound word; 'గుడి' and 'మైన' should be combined.
test_9_91,surya,raw,26,వచ్చిన్తాను,వచ్చిందాను,Morphological error; 'వచ్చిన్తాను' is not a valid form.
test_9_166,surya,raw,6,దండి పోయినాడు,దండిపోయినాడు,The space in 'దండి పోయినాడు' is likely an OCR error. 'దండిపోయినాడు' is a more plausible compound word.
test_9_166,surya,raw,8,విర్ణుడయ్యారో,విరుద్ధుడయ్యారో,The sequence 'విర్ణు' is unlikely in Telugu. 'విరుద్ధుడయ్యారో' is a more plausible correction.
test_9_166,surya,raw,11,పరిగోద్రేంచి,పరిగెదురించి,The sequence 'ద్రే' is unusual in Telugu. 'పరిగెదురించి' is a more plausible word.
test_9_166,surya,raw,14,దేవ్య గ్రహాలలో,దేవగ్రహాలలో,The space in 'దేవ్య గ్రహాలలో' is likely an OCR error. 'దేవగ్రహాలలో' is a more plausible compound word.
