input_kind,page_key,image_index,source_image_path,model_a,model_b,model_a_status,model_b_status,model_a_text,model_b_text,agreement_score,disagreement_score,human_review,review_reason
processed,test_9_13,1,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/1.png,surya,tesseract,ok,ok,బహిరంగ వైనా,టా,0.153846,0.846154,true,agreement_below_threshold
processed,test_9_13,2,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/2.png,surya,tesseract,empty_output,ok,,మోతని,0.000000,1.000000,true,surya_empty;agreement_below_threshold
processed,test_9_13,3,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/3.png,surya,tesseract,ok,ok,దూరం లోనిలు,ఉ ు ట్వాలు,0.285714,0.714286,true,agreement_below_threshold
processed,test_9_13,4,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/4.png,surya,tesseract,ok,ok,మౌర్యాలు,వేగ్రగా లో,0.333333,0.666667,true,agreement_below_threshold
processed,test_9_13,5,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/5.png,surya,tesseract,empty_output,ok,,౭ ర లీరి బూల్సీ,0.000000,1.000000,true,surya_empty;agreement_below_threshold
processed,test_9_13,6,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/6.png,surya,tesseract,empty_output,ok,,వేఆనే లా,0.000000,1.000000,true,surya_empty;agreement_below_threshold
processed,test_9_13,7,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/7.png,surya,tesseract,ok,ok,చి లికేధలు,ల గులు,0.375000,0.625000,true,agreement_below_threshold
processed,test_9_13,8,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/8.png,surya,tesseract,empty_output,ok,,న,0.000000,1.000000,true,surya_empty;agreement_below_threshold
processed,test_9_13,9,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/9.png,surya,tesseract,ok,ok,నర్మా రీతి చెల్‌యా దు,నిర్దారీం వయా రు,0.378378,0.621622,true,agreement_below_threshold
processed,test_9_13,10,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/10.png,surya,tesseract,empty_output,empty_output,,,0.000000,1.000000,true,both_empty;agreement_below_threshold
processed,test_9_13,11,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/11.png,surya,tesseract,ok,ok,‍,ఉీపాంచరీ,0.000000,1.000000,true,agreement_below_threshold
processed,test_9_13,12,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/12.png,surya,tesseract,ok,ok,నిర్ణయంలో,నిర్వ యంఆ,0.666667,0.333333,true,agreement_below_threshold
processed,test_9_13,13,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/13.png,surya,tesseract,empty_output,empty_output,,,0.000000,1.000000,true,both_empty;agreement_below_threshold
processed,test_9_13,14,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/14.png,surya,tesseract,empty_output,ok,,గాల,0.000000,1.000000,true,surya_empty;agreement_below_threshold
processed,test_9_13,15,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/15.png,surya,tesseract,empty_output,ok,,నంబరు,0.000000,1.000000,true,surya_empty;agreement_below_threshold
processed,test_9_13,16,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/16.png,surya,tesseract,empty_output,ok,,న్‌,0.000000,1.000000,true,surya_empty;agreement_below_threshold
processed,test_9_13,17,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/17.png,surya,tesseract,ok,ok,మనము,మేన్‌,0.444444,0.555556,true,agreement_below_threshold
processed,test_9_13,18,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/18.png,surya,tesseract,ok,ok,రాసు కుంటి,గొసు ఖం,0.470588,0.529412,true,agreement_below_threshold
processed,test_9_13,19,/home/tom/telugu_data/ground_truth_processed_0622/test/9/13/19.png,surya,tesseract,empty_output,ok,,గాలు,0.000000,1.000000,true,surya_empty;agreement_below_threshold
