input_kind,page_key,image_index,source_image_path,model_a,model_b,model_a_status,model_b_status,model_a_text,model_b_text,agreement_score,disagreement_score,human_review,review_reason
raw,test_9_13,1,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/1.jpg,surya,tesseract,ok,empty_output,బాహు పైనా,,0.000000,1.000000,true,tesseract_empty;agreement_below_threshold
raw,test_9_13,2,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/2.jpg,surya,tesseract,ok,empty_output,మూలకేశి,,0.000000,1.000000,true,tesseract_empty;agreement_below_threshold
raw,test_9_13,3,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/3.jpg,surya,tesseract,ok,empty_output,దూరం లోనిలు,,0.000000,1.000000,true,tesseract_empty;agreement_below_threshold
raw,test_9_13,4,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/4.jpg,surya,tesseract,ok,empty_output,మరాగ్రాత,,0.000000,1.000000,true,tesseract_empty;agreement_below_threshold
raw,test_9_13,5,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/5.jpg,surya,tesseract,empty_output,empty_output,,,0.000000,1.000000,true,both_empty;agreement_below_threshold
raw,test_9_13,6,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/6.jpg,surya,tesseract,empty_output,ok,,ఇవేంనేవెల,0.000000,1.000000,true,surya_empty;agreement_below_threshold
raw,test_9_13,7,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/7.jpg,surya,tesseract,ok,ok,చే లికేధేలు,చ లకథోలు,0.631579,0.368421,true,agreement_below_threshold
raw,test_9_13,8,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/8.jpg,surya,tesseract,empty_output,empty_output,,,0.000000,1.000000,true,both_empty;agreement_below_threshold
raw,test_9_13,9,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/9.jpg,surya,tesseract,ok,empty_output,నర్మారం చౌదారు,,0.000000,1.000000,true,tesseract_empty;agreement_below_threshold
raw,test_9_13,10,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/10.jpg,surya,tesseract,empty_output,ok,,ట్రీగమ,0.000000,1.000000,true,surya_empty;agreement_below_threshold
raw,test_9_13,11,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/11.jpg,surya,tesseract,ok,ok,‍,థీటౌంలరీ,0.000000,1.000000,true,agreement_below_threshold
raw,test_9_13,12,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/12.jpg,surya,tesseract,ok,empty_output,నర్మా హారియ్,,0.000000,1.000000,true,tesseract_empty;agreement_below_threshold
raw,test_9_13,13,/home/tom/telugu_data/ground_truth/sample_set/test/9/13/13.jpg,surya,tesseract,empty_output,empty_output,,,0.000000,1.000000,true,both_empty;agreement_below_threshold
